station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BNE;27.04.1960 00:00;0.6;;
BNE;28.04.1960 00:00;7.8;;
BNE;29.04.1960 00:00;1;;
BNE;30.04.1960 00:00;0;;
BNE;01.05.1960 00:00;0;;
BNE;02.05.1960 00:00;0;;
BNE;03.05.1960 00:00;0;;
BNE;04.05.1960 00:00;0;;
BNE;05.05.1960 00:00;0;;
BNE;06.05.1960 00:00;0;;
BNE;07.05.1960 00:00;0;;
BNE;08.05.1960 00:00;0;;
BNE;09.05.1960 00:00;2.6;;
BNE;10.05.1960 00:00;0;;
BNE;11.05.1960 00:00;0.9;;
BNE;12.05.1960 00:00;0;;
BNE;13.05.1960 00:00;0;;
BNE;14.05.1960 00:00;0;;
BNE;15.05.1960 00:00;2.9;;
BNE;16.05.1960 00:00;7.1;;
BNE;17.05.1960 00:00;0;;
BNE;18.05.1960 00:00;15.6;;
BNE;19.05.1960 00:00;6.2;;
BNE;20.05.1960 00:00;6.5;;
BNE;21.05.1960 00:00;8.1;;
BNE;22.05.1960 00:00;0.9;;
BNE;23.05.1960 00:00;3.8;;
BNE;24.05.1960 00:00;18.8;;
BNE;25.05.1960 00:00;0;;
BNE;26.05.1960 00:00;0;;
BNE;27.05.1960 00:00;0;;
BNE;28.05.1960 00:00;0;;
BNE;29.05.1960 00:00;0;;
BNE;30.05.1960 00:00;0;;
BNE;31.05.1960 00:00;0;;
BNE;01.06.1960 00:00;0;;
BNE;02.06.1960 00:00;5.6;;
BNE;03.06.1960 00:00;8.4;;
BNE;04.06.1960 00:00;8.8;;
BNE;05.06.1960 00:00;0;;
BNE;06.06.1960 00:00;3.6;;
BNE;07.06.1960 00:00;0;;
BNE;08.06.1960 00:00;7.3;;
BNE;09.06.1960 00:00;0;;
BNE;10.06.1960 00:00;8.8;;
BNE;11.06.1960 00:00;0;;
BNE;12.06.1960 00:00;0;;
BNE;13.06.1960 00:00;0;;
BNE;14.06.1960 00:00;0;;
BNE;15.06.1960 00:00;0;;
BNE;16.06.1960 00:00;0;;
BNE;17.06.1960 00:00;0;;
BNE;18.06.1960 00:00;0;;
BNE;19.06.1960 00:00;0;;
BNE;20.06.1960 00:00;0;;
BNE;21.06.1960 00:00;0;;
BNE;22.06.1960 00:00;0;;
BNE;23.06.1960 00:00;52;;
BNE;24.06.1960 00:00;14.5;;
BNE;25.06.1960 00:00;33.9;;
BNE;26.06.1960 00:00;15.6;;
BNE;27.06.1960 00:00;0;;
BNE;28.06.1960 00:00;2.8;;
BNE;29.06.1960 00:00;0;;
BNE;30.06.1960 00:00;0;;
BNE;01.07.1960 00:00;0;;
BNE;02.07.1960 00:00;0;;
BNE;03.07.1960 00:00;0;;
BNE;04.07.1960 00:00;0;;
BNE;05.07.1960 00:00;1.5;;
BNE;06.07.1960 00:00;7.2;;
BNE;07.07.1960 00:00;23.8;;
BNE;08.07.1960 00:00;7.1;;
BNE;09.07.1960 00:00;10.3;;
BNE;10.07.1960 00:00;3.4;;
BNE;11.07.1960 00:00;10.2;;
BNE;12.07.1960 00:00;3.3;;
BNE;13.07.1960 00:00;0;;
BNE;14.07.1960 00:00;4.2;;
BNE;15.07.1960 00:00;2.2;;
BNE;16.07.1960 00:00;0;;
BNE;17.07.1960 00:00;0;;
BNE;18.07.1960 00:00;1.1;;
BNE;19.07.1960 00:00;15;;
BNE;20.07.1960 00:00;0;;
BNE;21.07.1960 00:00;0;;
BNE;22.07.1960 00:00;3.5;;
BNE;23.07.1960 00:00;3.5;;
BNE;24.07.1960 00:00;0;;
BNE;25.07.1960 00:00;0;;
BNE;26.07.1960 00:00;5.9;;
BNE;27.07.1960 00:00;2.2;;
BNE;28.07.1960 00:00;0;;
BNE;29.07.1960 00:00;0;;
BNE;30.07.1960 00:00;0;;
BNE;31.07.1960 00:00;15;;
BNE;01.08.1960 00:00;6.8;;
BNE;02.08.1960 00:00;9.5;;
BNE;03.08.1960 00:00;0;;
BNE;04.08.1960 00:00;9.1;;
BNE;05.08.1960 00:00;12.9;;
BNE;06.08.1960 00:00;1.2;;
BNE;07.08.1960 00:00;21.3;;
BNE;08.08.1960 00:00;7.5;;
BNE;09.08.1960 00:00;0;;
BNE;10.08.1960 00:00;0;;
BNE;11.08.1960 00:00;15.5;;
BNE;12.08.1960 00:00;16.7;;
BNE;13.08.1960 00:00;1.2;;
BNE;14.08.1960 00:00;1.5;;
BNE;15.08.1960 00:00;3.3;;
BNE;16.08.1960 00:00;0;;
BNE;17.08.1960 00:00;9.2;;
BNE;18.08.1960 00:00;16.4;;
BNE;19.08.1960 00:00;0;;
BNE;20.08.1960 00:00;0;;
BNE;21.08.1960 00:00;0;;
BNE;22.08.1960 00:00;0;;
BNE;23.08.1960 00:00;0;;
BNE;24.08.1960 00:00;0;;
BNE;25.08.1960 00:00;0;;
BNE;26.08.1960 00:00;0;;
BNE;27.08.1960 00:00;6;;
BNE;28.08.1960 00:00;3.1;;
BNE;29.08.1960 00:00;2.3;;
BNE;30.08.1960 00:00;4.7;;
BNE;31.08.1960 00:00;0;;
BNE;01.09.1960 00:00;0;;
BNE;02.09.1960 00:00;0;;
BNE;03.09.1960 00:00;25.7;;
BNE;04.09.1960 00:00;12.4;;
BNE;05.09.1960 00:00;4.6;;
BNE;06.09.1960 00:00;2.4;;
BNE;07.09.1960 00:00;3.9;;
BNE;08.09.1960 00:00;0;;
BNE;09.09.1960 00:00;0;;
BNE;10.09.1960 00:00;0;;
BNE;11.09.1960 00:00;0;;
BNE;12.09.1960 00:00;0;;
BNE;13.09.1960 00:00;19.9;;
BNE;14.09.1960 00:00;0;;
BNE;15.09.1960 00:00;26.5;;
BNE;16.09.1960 00:00;25.8;;
BNE;17.09.1960 00:00;0;;
BNE;18.09.1960 00:00;1.5;;
BNE;19.09.1960 00:00;9.5;;
BNE;20.09.1960 00:00;13.5;;
BNE;21.09.1960 00:00;2.5;;
BNE;22.09.1960 00:00;0;;
BNE;23.09.1960 00:00;0;;
BNE;24.09.1960 00:00;0;;
BNE;25.09.1960 00:00;0;;
BNE;26.09.1960 00:00;0;;
BNE;27.09.1960 00:00;0;;
BNE;28.09.1960 00:00;24.6;;
BNE;29.09.1960 00:00;1.6;;
BNE;30.09.1960 00:00;19.1;;
BNE;01.10.1960 00:00;0;;
BNE;02.10.1960 00:00;12.8;;
BNE;03.10.1960 00:00;0;;
BNE;04.10.1960 00:00;2.2;;
BNE;05.10.1960 00:00;0;;
BNE;06.10.1960 00:00;6.1;;
BNE;07.10.1960 00:00;15.4;;
BNE;08.10.1960 00:00;17.7;;
BNE;09.10.1960 00:00;9.8;;
BNE;10.10.1960 00:00;13.8;;
BNE;11.10.1960 00:00;12.3;;
BNE;12.10.1960 00:00;6.2;;
BNE;13.10.1960 00:00;0;;
BNE;14.10.1960 00:00;1.5;;
BNE;15.10.1960 00:00;23.5;;
BNE;16.10.1960 00:00;6.7;;
BNE;17.10.1960 00:00;1.4;;
BNE;18.10.1960 00:00;0;;
BNE;19.10.1960 00:00;0;;
BNE;20.10.1960 00:00;5.3;;
BNE;21.10.1960 00:00;1.3;;
BNE;22.10.1960 00:00;4.2;;
BNE;23.10.1960 00:00;5.4;;
BNE;24.10.1960 00:00;3.7;;
BNE;25.10.1960 00:00;3.9;;
BNE;26.10.1960 00:00;1.9;;
BNE;27.10.1960 00:00;0;;
BNE;28.10.1960 00:00;28;;
BNE;29.10.1960 00:00;14.5;;
BNE;30.10.1960 00:00;0;;
BNE;31.10.1960 00:00;0.3;;
BNE;01.11.1960 00:00;4.1;;
BNE;02.11.1960 00:00;0;;
BNE;03.11.1960 00:00;0;;
BNE;04.11.1960 00:00;29.2;;
BNE;05.11.1960 00:00;0.8;;
BNE;06.11.1960 00:00;0;;
BNE;07.11.1960 00:00;0;;
BNE;08.11.1960 00:00;0;;
BNE;09.11.1960 00:00;2;;
BNE;10.11.1960 00:00;5;;
BNE;11.11.1960 00:00;8.8;;
BNE;12.11.1960 00:00;17.8;;
BNE;13.11.1960 00:00;0;;
BNE;14.11.1960 00:00;1.1;;
BNE;15.11.1960 00:00;16.6;;
BNE;16.11.1960 00:00;0;;
BNE;17.11.1960 00:00;11.8;;
BNE;18.11.1960 00:00;4.6;;
BNE;19.11.1960 00:00;13.5;;
BNE;20.11.1960 00:00;0;;
BNE;21.11.1960 00:00;0;;
BNE;22.11.1960 00:00;4;;
BNE;23.11.1960 00:00;2.1;;
BNE;24.11.1960 00:00;0.1;;
BNE;25.11.1960 00:00;0;;
BNE;26.11.1960 00:00;0.6;;
BNE;27.11.1960 00:00;2.2;;
BNE;28.11.1960 00:00;0.6;;
BNE;29.11.1960 00:00;0;;
BNE;30.11.1960 00:00;0;;
BNE;01.12.1960 00:00;0;;
BNE;02.12.1960 00:00;2.8;;
BNE;03.12.1960 00:00;0;;
BNE;04.12.1960 00:00;8;;
BNE;05.12.1960 00:00;17.8;;
BNE;06.12.1960 00:00;1.2;;
BNE;07.12.1960 00:00;0;;
BNE;08.12.1960 00:00;0;;
BNE;09.12.1960 00:00;2.8;;
BNE;10.12.1960 00:00;3.2;;
BNE;11.12.1960 00:00;0;;
BNE;12.12.1960 00:00;0;;
BNE;13.12.1960 00:00;0;;
BNE;14.12.1960 00:00;0;;
BNE;15.12.1960 00:00;0;;
BNE;16.12.1960 00:00;0;;
BNE;17.12.1960 00:00;0;;
BNE;18.12.1960 00:00;0;;
BNE;19.12.1960 00:00;3.9;;
BNE;20.12.1960 00:00;5.8;;
BNE;21.12.1960 00:00;0.2;;
BNE;22.12.1960 00:00;2.5;;
BNE;23.12.1960 00:00;0;;
BNE;24.12.1960 00:00;0;;
BNE;25.12.1960 00:00;0;;
BNE;26.12.1960 00:00;7.3;;
BNE;27.12.1960 00:00;8.7;;
BNE;28.12.1960 00:00;2.7;;
BNE;29.12.1960 00:00;0;;
BNE;30.12.1960 00:00;2.6;;
BNE;31.12.1960 00:00;0.6;;
BNE;01.01.1961 00:00;6.4;;
BNE;02.01.1961 00:00;8.3;;
BNE;03.01.1961 00:00;7.9;;
BNE;04.01.1961 00:00;2.7;;
BNE;05.01.1961 00:00;2;;
BNE;06.01.1961 00:00;4.1;;
BNE;07.01.1961 00:00;3;;
BNE;08.01.1961 00:00;9.1;;
BNE;09.01.1961 00:00;2.3;;
BNE;10.01.1961 00:00;7.8;;
BNE;11.01.1961 00:00;1.4;;
BNE;12.01.1961 00:00;0;;
BNE;13.01.1961 00:00;0;;
BNE;14.01.1961 00:00;0;;
BNE;15.01.1961 00:00;0;;
BNE;16.01.1961 00:00;0;;
BNE;17.01.1961 00:00;0;;
BNE;18.01.1961 00:00;0;;
BNE;19.01.1961 00:00;0;;
BNE;20.01.1961 00:00;2;;
BNE;21.01.1961 00:00;0;;
BNE;22.01.1961 00:00;2.5;;
BNE;23.01.1961 00:00;13.6;;
BNE;24.01.1961 00:00;3.3;;
BNE;25.01.1961 00:00;2.6;;
BNE;26.01.1961 00:00;0;;
BNE;27.01.1961 00:00;0;;
BNE;28.01.1961 00:00;8.4;;
BNE;29.01.1961 00:00;0;;
BNE;30.01.1961 00:00;6;;
BNE;31.01.1961 00:00;14;;
BNE;01.02.1961 00:00;8.6;;
BNE;02.02.1961 00:00;33.3;;
BNE;03.02.1961 00:00;13.8;;
BNE;04.02.1961 00:00;7.9;;
BNE;05.02.1961 00:00;10.2;;
BNE;06.02.1961 00:00;4;;
BNE;07.02.1961 00:00;7.6;;
BNE;08.02.1961 00:00;1;;
BNE;09.02.1961 00:00;8.6;;
BNE;10.02.1961 00:00;0;;
BNE;11.02.1961 00:00;7.6;;
BNE;12.02.1961 00:00;13.9;;
BNE;13.02.1961 00:00;0;;
BNE;14.02.1961 00:00;0;;
BNE;15.02.1961 00:00;0;;
BNE;16.02.1961 00:00;0;;
BNE;17.02.1961 00:00;0;;
BNE;18.02.1961 00:00;0;;
BNE;19.02.1961 00:00;0;;
BNE;20.02.1961 00:00;0;;
BNE;21.02.1961 00:00;0;;
BNE;22.02.1961 00:00;0;;
BNE;23.02.1961 00:00;0;;
BNE;24.02.1961 00:00;0;;
BNE;25.02.1961 00:00;2.8;;
BNE;26.02.1961 00:00;0;;
BNE;27.02.1961 00:00;0;;
BNE;28.02.1961 00:00;21;;
BNE;01.03.1961 00:00;2.7;;
BNE;02.03.1961 00:00;1.2;;
BNE;03.03.1961 00:00;0;;
BNE;04.03.1961 00:00;0;;
BNE;05.03.1961 00:00;0;;
BNE;06.03.1961 00:00;0;;
BNE;07.03.1961 00:00;0;;
BNE;08.03.1961 00:00;0;;
BNE;09.03.1961 00:00;0;;
BNE;10.03.1961 00:00;0;;
BNE;11.03.1961 00:00;0;;
BNE;12.03.1961 00:00;0;;
BNE;13.03.1961 00:00;0.1;;
BNE;14.03.1961 00:00;0;;
BNE;15.03.1961 00:00;0;;
BNE;16.03.1961 00:00;0;;
BNE;17.03.1961 00:00;0;;
BNE;18.03.1961 00:00;1.8;;
BNE;19.03.1961 00:00;1.4;;
BNE;20.03.1961 00:00;0;;
BNE;21.03.1961 00:00;15;;
BNE;22.03.1961 00:00;0;;
BNE;23.03.1961 00:00;0;;
BNE;24.03.1961 00:00;0;;
BNE;25.03.1961 00:00;0;;
BNE;26.03.1961 00:00;0;;
BNE;27.03.1961 00:00;0;;
BNE;28.03.1961 00:00;0;;
BNE;29.03.1961 00:00;0.4;;
BNE;30.03.1961 00:00;10.7;;
BNE;31.03.1961 00:00;2.8;;
BNE;01.04.1961 00:00;2.3;;
BNE;02.04.1961 00:00;0;;
BNE;03.04.1961 00:00;0;;
BNE;04.04.1961 00:00;0;;
BNE;05.04.1961 00:00;0;;
BNE;06.04.1961 00:00;0;;
BNE;07.04.1961 00:00;0.2;;
BNE;08.04.1961 00:00;1.8;;
BNE;09.04.1961 00:00;0;;
BNE;10.04.1961 00:00;4.7;;
BNE;11.04.1961 00:00;0;;
BNE;12.04.1961 00:00;0;;
BNE;13.04.1961 00:00;0;;
BNE;14.04.1961 00:00;19.8;;
BNE;15.04.1961 00:00;3.5;;
BNE;16.04.1961 00:00;7.1;;
BNE;17.04.1961 00:00;25;;
BNE;18.04.1961 00:00;5.3;;
BNE;19.04.1961 00:00;1.4;;
BNE;20.04.1961 00:00;4.1;;
BNE;21.04.1961 00:00;19.6;;
BNE;22.04.1961 00:00;10.5;;
BNE;23.04.1961 00:00;3.7;;
BNE;24.04.1961 00:00;2.5;;
BNE;25.04.1961 00:00;4.6;;
BNE;26.04.1961 00:00;10.3;;
BNE;27.04.1961 00:00;0;;
BNE;28.04.1961 00:00;19.6;;
BNE;29.04.1961 00:00;9.2;;
BNE;30.04.1961 00:00;5.4;;
BNE;01.05.1961 00:00;1.8;;
BNE;02.05.1961 00:00;1.9;;
BNE;03.05.1961 00:00;2.1;;
BNE;04.05.1961 00:00;0;;
BNE;05.05.1961 00:00;8.5;;
BNE;06.05.1961 00:00;9.1;;
BNE;07.05.1961 00:00;2.5;;
BNE;08.05.1961 00:00;0;;
BNE;09.05.1961 00:00;5.6;;
BNE;10.05.1961 00:00;0.4;;
BNE;11.05.1961 00:00;0.5;;
BNE;12.05.1961 00:00;0;;
BNE;13.05.1961 00:00;0;;
BNE;14.05.1961 00:00;0;;
BNE;15.05.1961 00:00;3.4;;
BNE;16.05.1961 00:00;0;;
BNE;17.05.1961 00:00;0;;
BNE;18.05.1961 00:00;0;;
BNE;19.05.1961 00:00;0;;
BNE;20.05.1961 00:00;1.2;;
BNE;21.05.1961 00:00;4.2;;
BNE;22.05.1961 00:00;3.4;;
BNE;23.05.1961 00:00;6.6;;
BNE;24.05.1961 00:00;0;;
BNE;25.05.1961 00:00;4.7;;
BNE;26.05.1961 00:00;4.2;;
BNE;27.05.1961 00:00;3.4;;
BNE;28.05.1961 00:00;6.6;;
BNE;29.05.1961 00:00;0;;
BNE;30.05.1961 00:00;0;;
BNE;31.05.1961 00:00;0.4;;
BNE;01.06.1961 00:00;21.4;;
BNE;02.06.1961 00:00;5.1;;
BNE;03.06.1961 00:00;1.1;;
BNE;04.06.1961 00:00;0.3;;
BNE;05.06.1961 00:00;0;;
BNE;06.06.1961 00:00;3.1;;
BNE;07.06.1961 00:00;1.4;;
BNE;08.06.1961 00:00;0;;
BNE;09.06.1961 00:00;18;;
BNE;10.06.1961 00:00;0;;
BNE;11.06.1961 00:00;3;;
BNE;12.06.1961 00:00;2.2;;
BNE;13.06.1961 00:00;5.2;;
BNE;14.06.1961 00:00;0;;
BNE;15.06.1961 00:00;0;;
BNE;16.06.1961 00:00;0;;
BNE;17.06.1961 00:00;0;;
BNE;18.06.1961 00:00;0;;
BNE;19.06.1961 00:00;0;;
BNE;20.06.1961 00:00;0;;
BNE;21.06.1961 00:00;0;;
BNE;22.06.1961 00:00;10.7;;
BNE;23.06.1961 00:00;0;;
BNE;24.06.1961 00:00;0;;
BNE;25.06.1961 00:00;14.5;;
BNE;26.06.1961 00:00;26.5;;
BNE;27.06.1961 00:00;33.8;;
BNE;28.06.1961 00:00;0;;
BNE;29.06.1961 00:00;0;;
BNE;30.06.1961 00:00;0;;
BNE;01.07.1961 00:00;0;;
BNE;02.07.1961 00:00;0;;
BNE;03.07.1961 00:00;8.9;;
BNE;04.07.1961 00:00;0;;
BNE;05.07.1961 00:00;0;;
BNE;06.07.1961 00:00;0;;
BNE;07.07.1961 00:00;0;;
BNE;08.07.1961 00:00;0;;
BNE;09.07.1961 00:00;0;;
BNE;10.07.1961 00:00;0;;
BNE;11.07.1961 00:00;10.6;;
BNE;12.07.1961 00:00;4.6;;
BNE;13.07.1961 00:00;9;;
BNE;14.07.1961 00:00;29.4;;
BNE;15.07.1961 00:00;2.6;;
BNE;16.07.1961 00:00;8.6;;
BNE;17.07.1961 00:00;7.6;;
BNE;18.07.1961 00:00;0.5;;
BNE;19.07.1961 00:00;15;;
BNE;20.07.1961 00:00;0;;
BNE;21.07.1961 00:00;0;;
BNE;22.07.1961 00:00;0;;
BNE;23.07.1961 00:00;0;;
BNE;24.07.1961 00:00;10.5;;
BNE;25.07.1961 00:00;0;;
BNE;26.07.1961 00:00;0;;
BNE;27.07.1961 00:00;0;;
BNE;28.07.1961 00:00;25;;
BNE;29.07.1961 00:00;2.2;;
BNE;30.07.1961 00:00;0;;
BNE;31.07.1961 00:00;0;;
BNE;01.08.1961 00:00;11;;
BNE;02.08.1961 00:00;1.2;;
BNE;03.08.1961 00:00;0;;
BNE;04.08.1961 00:00;0;;
BNE;05.08.1961 00:00;0;;
BNE;06.08.1961 00:00;0.5;;
BNE;07.08.1961 00:00;13.4;;
BNE;08.08.1961 00:00;19.6;;
BNE;09.08.1961 00:00;4.5;;
BNE;10.08.1961 00:00;17.9;;
BNE;11.08.1961 00:00;6.6;;
BNE;12.08.1961 00:00;12.9;;
BNE;13.08.1961 00:00;0;;
BNE;14.08.1961 00:00;0;;
BNE;15.08.1961 00:00;11.8;;
BNE;16.08.1961 00:00;10;;
BNE;17.08.1961 00:00;6.5;;
BNE;18.08.1961 00:00;0;;
BNE;19.08.1961 00:00;0.9;;
BNE;20.08.1961 00:00;0;;
BNE;21.08.1961 00:00;0;;
BNE;22.08.1961 00:00;0.7;;
BNE;23.08.1961 00:00;0;;
BNE;24.08.1961 00:00;0;;
BNE;25.08.1961 00:00;0;;
BNE;26.08.1961 00:00;0;;
BNE;27.08.1961 00:00;0;;
BNE;28.08.1961 00:00;0;;
BNE;29.08.1961 00:00;0;;
BNE;30.08.1961 00:00;0;;
BNE;31.08.1961 00:00;0;;
BNE;01.09.1961 00:00;0;;
BNE;02.09.1961 00:00;0;;
BNE;03.09.1961 00:00;0.7;;
BNE;04.09.1961 00:00;14.5;;
BNE;05.09.1961 00:00;12.2;;
BNE;06.09.1961 00:00;7.1;;
BNE;07.09.1961 00:00;4.9;;
BNE;08.09.1961 00:00;0;;
BNE;09.09.1961 00:00;0;;
BNE;10.09.1961 00:00;0;;
BNE;11.09.1961 00:00;0;;
BNE;12.09.1961 00:00;0;;
BNE;13.09.1961 00:00;0;;
BNE;14.09.1961 00:00;5.7;;
BNE;15.09.1961 00:00;0;;
BNE;16.09.1961 00:00;0;;
BNE;17.09.1961 00:00;0;;
BNE;18.09.1961 00:00;0;;
BNE;19.09.1961 00:00;0;;
BNE;20.09.1961 00:00;0;;
BNE;21.09.1961 00:00;0;;
BNE;22.09.1961 00:00;0;;
BNE;23.09.1961 00:00;0;;
BNE;24.09.1961 00:00;0;;
BNE;25.09.1961 00:00;0;;
BNE;26.09.1961 00:00;0;;
BNE;27.09.1961 00:00;0;;
BNE;28.09.1961 00:00;0;;
BNE;29.09.1961 00:00;1.8;;
BNE;30.09.1961 00:00;1;;
BNE;01.10.1961 00:00;24.3;;
BNE;02.10.1961 00:00;0;;
BNE;03.10.1961 00:00;0;;
BNE;04.10.1961 00:00;0;;
BNE;05.10.1961 00:00;0;;
BNE;06.10.1961 00:00;2.2;;
BNE;07.10.1961 00:00;2.1;;
BNE;08.10.1961 00:00;0;;
BNE;09.10.1961 00:00;0;;
BNE;10.10.1961 00:00;0;;
BNE;11.10.1961 00:00;0;;
BNE;12.10.1961 00:00;0;;
BNE;13.10.1961 00:00;0;;
BNE;14.10.1961 00:00;0;;
BNE;15.10.1961 00:00;0;;
BNE;16.10.1961 00:00;0;;
BNE;17.10.1961 00:00;38;;
BNE;18.10.1961 00:00;5;;
BNE;19.10.1961 00:00;14.6;;
BNE;20.10.1961 00:00;0;;
BNE;21.10.1961 00:00;0;;
BNE;22.10.1961 00:00;0;;
BNE;23.10.1961 00:00;2.5;;
BNE;24.10.1961 00:00;0;;
BNE;25.10.1961 00:00;8.5;;
BNE;26.10.1961 00:00;0.4;;
BNE;27.10.1961 00:00;14.6;;
BNE;28.10.1961 00:00;1.2;;
BNE;29.10.1961 00:00;0;;
BNE;30.10.1961 00:00;0;;
BNE;31.10.1961 00:00;0;;
BNE;01.11.1961 00:00;0;;
BNE;02.11.1961 00:00;0.8;;
BNE;03.11.1961 00:00;10.4;;
BNE;04.11.1961 00:00;0.4;;
BNE;05.11.1961 00:00;2.3;;
BNE;06.11.1961 00:00;0;;
BNE;07.11.1961 00:00;3.5;;
BNE;08.11.1961 00:00;12;;
BNE;09.11.1961 00:00;21.2;;
BNE;10.11.1961 00:00;2.5;;
BNE;11.11.1961 00:00;0;;
BNE;12.11.1961 00:00;1.6;;
BNE;13.11.1961 00:00;0;;
BNE;14.11.1961 00:00;0;;
BNE;15.11.1961 00:00;0;;
BNE;16.11.1961 00:00;0;;
BNE;17.11.1961 00:00;0;;
BNE;18.11.1961 00:00;0;;
BNE;19.11.1961 00:00;0;;
BNE;20.11.1961 00:00;0;;
BNE;21.11.1961 00:00;0;;
BNE;22.11.1961 00:00;0;;
BNE;23.11.1961 00:00;0;;
BNE;24.11.1961 00:00;0.9;;
BNE;25.11.1961 00:00;1.7;;
BNE;26.11.1961 00:00;2.5;;
BNE;27.11.1961 00:00;0;;
BNE;28.11.1961 00:00;0;;
BNE;29.11.1961 00:00;0;;
BNE;30.11.1961 00:00;0.8;;
BNE;01.12.1961 00:00;7.1;;
BNE;02.12.1961 00:00;19.2;;
BNE;03.12.1961 00:00;10.4;;
BNE;04.12.1961 00:00;6.8;;
BNE;05.12.1961 00:00;10.6;;
BNE;06.12.1961 00:00;1.4;;
BNE;07.12.1961 00:00;0;;
BNE;08.12.1961 00:00;0;;
BNE;09.12.1961 00:00;15.2;;
BNE;10.12.1961 00:00;23.2;;
BNE;11.12.1961 00:00;44.3;;
BNE;12.12.1961 00:00;9.3;;
BNE;13.12.1961 00:00;3.5;;
BNE;14.12.1961 00:00;2;;
BNE;15.12.1961 00:00;0;;
BNE;16.12.1961 00:00;0;;
BNE;17.12.1961 00:00;0;;
BNE;18.12.1961 00:00;0;;
BNE;19.12.1961 00:00;0;;
BNE;20.12.1961 00:00;0;;
BNE;21.12.1961 00:00;0;;
BNE;22.12.1961 00:00;0;;
BNE;23.12.1961 00:00;0;;
BNE;24.12.1961 00:00;0;;
BNE;25.12.1961 00:00;1.7;;
BNE;26.12.1961 00:00;27.6;;
BNE;27.12.1961 00:00;0;;
BNE;28.12.1961 00:00;0;;
BNE;29.12.1961 00:00;0;;
BNE;30.12.1961 00:00;0;;
BNE;31.12.1961 00:00;2.3;;
BNE;01.01.1962 00:00;45.2;;
BNE;02.01.1962 00:00;4.8;;
BNE;03.01.1962 00:00;0;;
BNE;04.01.1962 00:00;0;;
BNE;05.01.1962 00:00;0;;
BNE;06.01.1962 00:00;0;;
BNE;07.01.1962 00:00;0;;
BNE;08.01.1962 00:00;0;;
BNE;09.01.1962 00:00;4.3;;
BNE;10.01.1962 00:00;4.2;;
BNE;11.01.1962 00:00;11.7;;
BNE;12.01.1962 00:00;33.5;;
BNE;13.01.1962 00:00;18.1;;
BNE;14.01.1962 00:00;0;;
BNE;15.01.1962 00:00;0;;
BNE;16.01.1962 00:00;0;;
BNE;17.01.1962 00:00;0;;
BNE;18.01.1962 00:00;4.1;;
BNE;19.01.1962 00:00;0;;
BNE;20.01.1962 00:00;0;;
BNE;21.01.1962 00:00;1.5;;
BNE;22.01.1962 00:00;5.4;;
BNE;23.01.1962 00:00;0.6;;
BNE;24.01.1962 00:00;12.8;;
BNE;25.01.1962 00:00;18.6;;
BNE;26.01.1962 00:00;6.6;;
BNE;27.01.1962 00:00;12.4;;
BNE;28.01.1962 00:00;0;;
BNE;29.01.1962 00:00;0;;
BNE;30.01.1962 00:00;0;;
BNE;31.01.1962 00:00;0;;
BNE;01.02.1962 00:00;8;;
BNE;02.02.1962 00:00;2.2;;
BNE;03.02.1962 00:00;0;;
BNE;04.02.1962 00:00;7;;
BNE;05.02.1962 00:00;8.5;;
BNE;06.02.1962 00:00;0;;
BNE;07.02.1962 00:00;5.2;;
BNE;08.02.1962 00:00;0;;
BNE;09.02.1962 00:00;0;;
BNE;10.02.1962 00:00;0;;
BNE;11.02.1962 00:00;0;;
BNE;12.02.1962 00:00;14.1;;
BNE;13.02.1962 00:00;28.1;;
BNE;14.02.1962 00:00;13.8;;
BNE;15.02.1962 00:00;6.3;;
BNE;16.02.1962 00:00;4.9;;
BNE;17.02.1962 00:00;3.1;;
BNE;18.02.1962 00:00;0;;
BNE;19.02.1962 00:00;0;;
BNE;20.02.1962 00:00;0;;
BNE;21.02.1962 00:00;0;;
BNE;22.02.1962 00:00;0;;
BNE;23.02.1962 00:00;0;;
BNE;24.02.1962 00:00;0;;
BNE;25.02.1962 00:00;0;;
BNE;26.02.1962 00:00;0.8;;
BNE;27.02.1962 00:00;0.4;;
BNE;28.02.1962 00:00;10.7;;
BNE;01.03.1962 00:00;0.6;;
BNE;02.03.1962 00:00;0;;
BNE;03.03.1962 00:00;27.4;;
BNE;04.03.1962 00:00;26.9;;
BNE;05.03.1962 00:00;4.2;;
BNE;06.03.1962 00:00;2;;
BNE;07.03.1962 00:00;0;;
BNE;08.03.1962 00:00;1.5;;
BNE;09.03.1962 00:00;6.4;;
BNE;10.03.1962 00:00;4;;
BNE;11.03.1962 00:00;2.2;;
BNE;12.03.1962 00:00;2.7;;
BNE;13.03.1962 00:00;0.9;;
BNE;14.03.1962 00:00;0.8;;
BNE;15.03.1962 00:00;1.2;;
BNE;16.03.1962 00:00;0.4;;
BNE;17.03.1962 00:00;1;;
BNE;18.03.1962 00:00;0;;
BNE;19.03.1962 00:00;0;;
BNE;20.03.1962 00:00;0;;
BNE;21.03.1962 00:00;0;;
BNE;22.03.1962 00:00;0;;
BNE;23.03.1962 00:00;0;;
BNE;24.03.1962 00:00;0;;
BNE;25.03.1962 00:00;0;;
BNE;26.03.1962 00:00;8.5;;
BNE;27.03.1962 00:00;7.6;;
BNE;28.03.1962 00:00;4.9;;
BNE;29.03.1962 00:00;11.9;;
