station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
KLO;12.05.1990 00:00;0.1;0;0
KLO;13.05.1990 00:00;8.9;0;0
KLO;14.05.1990 00:00;1;0;0
KLO;15.05.1990 00:00;0;0;0
KLO;16.05.1990 00:00;0;0;0
KLO;17.05.1990 00:00;0;0;0
KLO;18.05.1990 00:00;0;0;0
KLO;19.05.1990 00:00;0.7;0;0
KLO;20.05.1990 00:00;0.5;0;0
KLO;21.05.1990 00:00;5.1;0;0
KLO;22.05.1990 00:00;0.1;0;0
KLO;23.05.1990 00:00;0.6;0;0
KLO;24.05.1990 00:00;28.5;0;0
KLO;25.05.1990 00:00;2;0;0
KLO;26.05.1990 00:00;0;0;0
KLO;27.05.1990 00:00;0;0;0
KLO;28.05.1990 00:00;0;0;0
KLO;29.05.1990 00:00;0;0;0
KLO;30.05.1990 00:00;0;0;0
KLO;31.05.1990 00:00;0;0;0
KLO;01.06.1990 00:00;0.2;0;0
KLO;02.06.1990 00:00;16.2;0;0
KLO;03.06.1990 00:00;7.9;0;0
KLO;04.06.1990 00:00;1.4;0;0
KLO;05.06.1990 00:00;13.1;0;0
KLO;06.06.1990 00:00;0.1;0;0
KLO;07.06.1990 00:00;6.8;0;0
KLO;08.06.1990 00:00;11.3;0;0
KLO;09.06.1990 00:00;12.4;0;0
KLO;10.06.1990 00:00;3.2;0;0
KLO;11.06.1990 00:00;0;0;0
KLO;12.06.1990 00:00;6.5;0;0
KLO;13.06.1990 00:00;0.3;0;0
KLO;14.06.1990 00:00;0;0;0
KLO;15.06.1990 00:00;0;0;0
KLO;16.06.1990 00:00;0;0;0
KLO;17.06.1990 00:00;1;0;0
KLO;18.06.1990 00:00;0.1;0;0
KLO;19.06.1990 00:00;4.9;0;0
KLO;20.06.1990 00:00;19.4;0;0
KLO;21.06.1990 00:00;1.2;0;0
KLO;22.06.1990 00:00;5;0;0
KLO;23.06.1990 00:00;0.3;0;0
KLO;24.06.1990 00:00;0;0;0
KLO;25.06.1990 00:00;0;0;0
KLO;26.06.1990 00:00;0;0;0
KLO;27.06.1990 00:00;11.8;0;0
KLO;28.06.1990 00:00;0;0;0
KLO;29.06.1990 00:00;3.3;0;0
KLO;30.06.1990 00:00;13.8;0;0
KLO;01.07.1990 00:00;0.9;0;0
KLO;02.07.1990 00:00;0;0;0
KLO;03.07.1990 00:00;8.3;0;0
KLO;04.07.1990 00:00;0.2;0;0
KLO;05.07.1990 00:00;10.3;0;0
KLO;06.07.1990 00:00;0;0;0
KLO;07.07.1990 00:00;8.6;0;0
KLO;08.07.1990 00:00;0.5;0;0
KLO;09.07.1990 00:00;0.4;0;0
KLO;10.07.1990 00:00;0;0;0
KLO;11.07.1990 00:00;0;0;0
KLO;12.07.1990 00:00;0;0;0
KLO;13.07.1990 00:00;0;0;0
KLO;14.07.1990 00:00;0;0;0
KLO;15.07.1990 00:00;0;0;0
KLO;16.07.1990 00:00;0;0;0
KLO;17.07.1990 00:00;0;0;0
KLO;18.07.1990 00:00;0;0;0
KLO;19.07.1990 00:00;0;0;0
KLO;20.07.1990 00:00;0;0;0
KLO;21.07.1990 00:00;0;0;0
KLO;22.07.1990 00:00;0;0;0
KLO;23.07.1990 00:00;0;0;0
KLO;24.07.1990 00:00;0;0;0
KLO;25.07.1990 00:00;0;0;0
KLO;26.07.1990 00:00;0;0;0
KLO;27.07.1990 00:00;0;0;0
KLO;28.07.1990 00:00;0;0;0
KLO;29.07.1990 00:00;50.8;0;0
KLO;30.07.1990 00:00;11.8;0;0
KLO;31.07.1990 00:00;0;0;0
KLO;01.08.1990 00:00;0;0;0
KLO;02.08.1990 00:00;0;0;0
KLO;03.08.1990 00:00;0;0;0
KLO;04.08.1990 00:00;0;0;0
KLO;05.08.1990 00:00;0.1;0;0
KLO;06.08.1990 00:00;0;0;0
KLO;07.08.1990 00:00;0;0;0
KLO;08.08.1990 00:00;0;0;0
KLO;09.08.1990 00:00;0;0;0
KLO;10.08.1990 00:00;0;0;0
KLO;11.08.1990 00:00;0;0;0
KLO;12.08.1990 00:00;0;0;0
KLO;13.08.1990 00:00;0;0;0
KLO;14.08.1990 00:00;13.2;0;0
KLO;15.08.1990 00:00;0.6;0;0
KLO;16.08.1990 00:00;5.8;0;0
KLO;17.08.1990 00:00;0.1;0;0
KLO;18.08.1990 00:00;0;0;0
KLO;19.08.1990 00:00;0;0;0
KLO;20.08.1990 00:00;0;0;0
KLO;21.08.1990 00:00;0;0;0
KLO;22.08.1990 00:00;0;0;0
KLO;23.08.1990 00:00;0;0;0
KLO;24.08.1990 00:00;0;0;0
KLO;25.08.1990 00:00;15.6;0;0
KLO;26.08.1990 00:00;0;0;0
KLO;27.08.1990 00:00;0;0;0
KLO;28.08.1990 00:00;0;0;0
KLO;29.08.1990 00:00;1.2;0;0
KLO;30.08.1990 00:00;8.8;0;0
KLO;31.08.1990 00:00;12.4;0;0
KLO;01.09.1990 00:00;0;0;0
KLO;02.09.1990 00:00;0;0;0
KLO;03.09.1990 00:00;1.3;0;0
KLO;04.09.1990 00:00;1.4;0;0
KLO;05.09.1990 00:00;0;0;0
KLO;06.09.1990 00:00;2;0;0
KLO;07.09.1990 00:00;4.1;0;0
KLO;08.09.1990 00:00;0.1;0;0
KLO;09.09.1990 00:00;0;0;0
KLO;10.09.1990 00:00;2;0;0
KLO;11.09.1990 00:00;0;0;0
KLO;12.09.1990 00:00;0;0;0
KLO;13.09.1990 00:00;0;0;0
KLO;14.09.1990 00:00;3;0;0
KLO;15.09.1990 00:00;0;0;0
KLO;16.09.1990 00:00;0;0;0
KLO;17.09.1990 00:00;0;0;0
KLO;18.09.1990 00:00;0;0;0
KLO;19.09.1990 00:00;0;0;0
KLO;20.09.1990 00:00;0;0;0
KLO;21.09.1990 00:00;1.6;0;0
KLO;22.09.1990 00:00;17.5;0;0
KLO;23.09.1990 00:00;23.9;0;0
KLO;24.09.1990 00:00;0;0;0
KLO;25.09.1990 00:00;0;0;0
KLO;26.09.1990 00:00;0;0;0
KLO;27.09.1990 00:00;0;0;0
KLO;28.09.1990 00:00;0;0;0
KLO;29.09.1990 00:00;0;0;0
KLO;30.09.1990 00:00;13.9;0;0
KLO;01.10.1990 00:00;18.4;0;0
KLO;02.10.1990 00:00;0;0;0
KLO;03.10.1990 00:00;1;0;0
KLO;04.10.1990 00:00;19.5;0;0
KLO;05.10.1990 00:00;0;0;0
KLO;06.10.1990 00:00;0;0;0
KLO;07.10.1990 00:00;4.1;0;0
KLO;08.10.1990 00:00;0;0;0
KLO;09.10.1990 00:00;0;0;0
KLO;10.10.1990 00:00;0.2;0;0
KLO;11.10.1990 00:00;0.2;0;0
KLO;12.10.1990 00:00;0;0;0
KLO;13.10.1990 00:00;0;0;0
KLO;14.10.1990 00:00;0;0;0
KLO;15.10.1990 00:00;0.1;0;0
KLO;16.10.1990 00:00;0.6;0;0
KLO;17.10.1990 00:00;2.1;0;0
KLO;18.10.1990 00:00;0;0;0
KLO;19.10.1990 00:00;0;0;0
KLO;20.10.1990 00:00;0;0;0
KLO;21.10.1990 00:00;0;0;0
KLO;22.10.1990 00:00;0;0;0
KLO;23.10.1990 00:00;0;0;0
KLO;24.10.1990 00:00;0.1;0;0
KLO;25.10.1990 00:00;0.2;0;0
KLO;26.10.1990 00:00;1;0;0
KLO;27.10.1990 00:00;0.3;0;0
KLO;28.10.1990 00:00;19;0;0
KLO;29.10.1990 00:00;25.9;0;0
KLO;30.10.1990 00:00;8.9;0;0
KLO;31.10.1990 00:00;13.3;0;0
KLO;01.11.1990 00:00;5.5;0;0
KLO;02.11.1990 00:00;4.8;0;0
KLO;03.11.1990 00:00;2.4;0;0
KLO;04.11.1990 00:00;7.8;0;0
KLO;05.11.1990 00:00;0.5;0;0
KLO;06.11.1990 00:00;0;0;0
KLO;07.11.1990 00:00;0;0;0
KLO;08.11.1990 00:00;0;0;0
KLO;09.11.1990 00:00;0;0;0
KLO;10.11.1990 00:00;3.2;0;0
KLO;11.11.1990 00:00;14.3;0;0
KLO;12.11.1990 00:00;0;0;0
KLO;13.11.1990 00:00;1.3;0;0
KLO;14.11.1990 00:00;12.1;0;0
KLO;15.11.1990 00:00;11.7;0;0
KLO;16.11.1990 00:00;0;0;0
KLO;17.11.1990 00:00;0.6;0;0
KLO;18.11.1990 00:00;3.7;0;0
KLO;19.11.1990 00:00;4.7;0;0
KLO;20.11.1990 00:00;7.8;0;0
KLO;21.11.1990 00:00;7.4;0;0
KLO;22.11.1990 00:00;27.8;15;0
KLO;23.11.1990 00:00;0.4;0;15
KLO;24.11.1990 00:00;0;0;12
KLO;25.11.1990 00:00;1.5;0;8
KLO;26.11.1990 00:00;0;0;4
KLO;27.11.1990 00:00;2.4;0;2
KLO;28.11.1990 00:00;0.6;0;1
KLO;29.11.1990 00:00;0.4;0;0
KLO;30.11.1990 00:00;0.5;1;0
KLO;01.12.1990 00:00;0;0;1
KLO;02.12.1990 00:00;0;0;0
KLO;03.12.1990 00:00;0;0;0
KLO;04.12.1990 00:00;0.6;0;0
KLO;05.12.1990 00:00;0;0;0
KLO;06.12.1990 00:00;0;0;0
KLO;07.12.1990 00:00;0;0;0
KLO;08.12.1990 00:00;0;0;0
KLO;09.12.1990 00:00;0.2;0;0
KLO;10.12.1990 00:00;7.4;16;0
KLO;11.12.1990 00:00;0.1;0;16
KLO;12.12.1990 00:00;2.3;10;14
KLO;13.12.1990 00:00;4.3;10;18
KLO;14.12.1990 00:00;0;0;28
KLO;15.12.1990 00:00;0.3;1;18
KLO;16.12.1990 00:00;0;0;18
KLO;17.12.1990 00:00;0;0;17
KLO;18.12.1990 00:00;0;1;16
KLO;19.12.1990 00:00;0.1;1;15
KLO;20.12.1990 00:00;0.2;2;14
KLO;21.12.1990 00:00;6.1;6;14
KLO;22.12.1990 00:00;0;0;14
KLO;23.12.1990 00:00;0.1;0;9
KLO;24.12.1990 00:00;0;0;5
KLO;25.12.1990 00:00;2.4;0;5
KLO;26.12.1990 00:00;4.6;0;3
KLO;27.12.1990 00:00;1.6;0;0
KLO;28.12.1990 00:00;0;0;0
KLO;29.12.1990 00:00;2.9;0;0
KLO;30.12.1990 00:00;7.9;0;0
KLO;31.12.1990 00:00;12.6;0;0
KLO;01.01.1991 00:00;0.8;0;0
KLO;02.01.1991 00:00;14.2;0;0
KLO;03.01.1991 00:00;0;0;0
KLO;04.01.1991 00:00;3.4;0;0
KLO;05.01.1991 00:00;1.8;0;0
KLO;06.01.1991 00:00;4.8;0;0
KLO;07.01.1991 00:00;6.8;0;0
KLO;08.01.1991 00:00;0;0;0
KLO;09.01.1991 00:00;0;0;0
KLO;10.01.1991 00:00;0;0;0
KLO;11.01.1991 00:00;3.8;0;0
KLO;12.01.1991 00:00;4.2;0;0
KLO;13.01.1991 00:00;2.7;0;0
KLO;14.01.1991 00:00;0;0;0
KLO;15.01.1991 00:00;0;0;0
KLO;16.01.1991 00:00;0;0;0
KLO;17.01.1991 00:00;0;0;0
KLO;18.01.1991 00:00;0;0;0
KLO;19.01.1991 00:00;2.5;4;0
KLO;20.01.1991 00:00;0;0;4
KLO;21.01.1991 00:00;1.5;2;0
KLO;22.01.1991 00:00;0;0;2
KLO;23.01.1991 00:00;0;0;0
KLO;24.01.1991 00:00;0;0;0
KLO;25.01.1991 00:00;0;0;0
KLO;26.01.1991 00:00;0;0;0
KLO;27.01.1991 00:00;0;0;0
KLO;28.01.1991 00:00;0;0;0
KLO;29.01.1991 00:00;0;0;0
KLO;30.01.1991 00:00;0;0;0
KLO;31.01.1991 00:00;0;0;0
KLO;01.02.1991 00:00;0;0;0
KLO;02.02.1991 00:00;0;0;0
KLO;03.02.1991 00:00;0;0;0
KLO;04.02.1991 00:00;0;0;0
KLO;05.02.1991 00:00;0;0;0
KLO;06.02.1991 00:00;0;0;0
KLO;07.02.1991 00:00;0;0;0
KLO;08.02.1991 00:00;1.9;8;0
KLO;09.02.1991 00:00;5.2;4;8
KLO;10.02.1991 00:00;0;0;9
KLO;11.02.1991 00:00;0;1;4
KLO;12.02.1991 00:00;0.7;1;4
KLO;13.02.1991 00:00;0;0;6
KLO;14.02.1991 00:00;0;0;5
KLO;15.02.1991 00:00;0.9;5;5
KLO;16.02.1991 00:00;0.6;0;9
KLO;17.02.1991 00:00;0;0;5
KLO;18.02.1991 00:00;0;0;4
KLO;19.02.1991 00:00;0;0;2
KLO;20.02.1991 00:00;0;0;1
KLO;21.02.1991 00:00;0;0;0
KLO;22.02.1991 00:00;0;0;0
KLO;23.02.1991 00:00;0;0;0
KLO;24.02.1991 00:00;0;0;0
KLO;25.02.1991 00:00;0;0;0
KLO;26.02.1991 00:00;0;0;0
KLO;27.02.1991 00:00;3.6;0;0
KLO;28.02.1991 00:00;1.8;0;0
KLO;01.03.1991 00:00;0;0;0
KLO;02.03.1991 00:00;8.2;0;0
KLO;03.03.1991 00:00;0.1;0;0
KLO;04.03.1991 00:00;0;0;0
KLO;05.03.1991 00:00;0.1;0;0
KLO;06.03.1991 00:00;0;0;0
KLO;07.03.1991 00:00;0;0;0
KLO;08.03.1991 00:00;0;0;0
KLO;09.03.1991 00:00;7.8;0;0
KLO;10.03.1991 00:00;0;0;0
KLO;11.03.1991 00:00;0.3;0;0
KLO;12.03.1991 00:00;0;0;0
KLO;13.03.1991 00:00;0;0;0
KLO;14.03.1991 00:00;0;0;0
KLO;15.03.1991 00:00;0;0;0
KLO;16.03.1991 00:00;0;0;0
KLO;17.03.1991 00:00;0;0;0
KLO;18.03.1991 00:00;0.1;0;0
KLO;19.03.1991 00:00;9.4;0;0
KLO;20.03.1991 00:00;0;0;0
KLO;21.03.1991 00:00;10.4;0;0
KLO;22.03.1991 00:00;16.7;0;0
KLO;23.03.1991 00:00;0;0;0
KLO;24.03.1991 00:00;0;0;0
KLO;25.03.1991 00:00;0;0;0
KLO;26.03.1991 00:00;5;0;0
KLO;27.03.1991 00:00;0;0;0
KLO;28.03.1991 00:00;0;0;0
KLO;29.03.1991 00:00;0;0;0
KLO;30.03.1991 00:00;0;0;0
KLO;31.03.1991 00:00;0;0;0
KLO;01.04.1991 00:00;0;0;0
KLO;02.04.1991 00:00;0;0;0
KLO;03.04.1991 00:00;7.7;0;0
KLO;04.04.1991 00:00;9.8;0;0
KLO;05.04.1991 00:00;6.6;0;0
KLO;06.04.1991 00:00;0;0;0
KLO;07.04.1991 00:00;0;0;0
KLO;08.04.1991 00:00;0;0;0
KLO;09.04.1991 00:00;0;0;0
KLO;10.04.1991 00:00;0;0;0
KLO;11.04.1991 00:00;0;0;0
KLO;12.04.1991 00:00;0;0;0
KLO;13.04.1991 00:00;0;0;0
KLO;14.04.1991 00:00;0;0;0
KLO;15.04.1991 00:00;0;0;0
KLO;16.04.1991 00:00;0.3;0;0
KLO;17.04.1991 00:00;0;0;0
KLO;18.04.1991 00:00;0.5;0;0
KLO;19.04.1991 00:00;0.8;0;0
KLO;20.04.1991 00:00;2;0;0
KLO;21.04.1991 00:00;0;0;0
KLO;22.04.1991 00:00;2;0;0
KLO;23.04.1991 00:00;0.2;0;0
KLO;24.04.1991 00:00;0;0;0
KLO;25.04.1991 00:00;0;0;0
KLO;26.04.1991 00:00;0;0;0
KLO;27.04.1991 00:00;4.6;0;0
KLO;28.04.1991 00:00;0.2;0;0
KLO;29.04.1991 00:00;10.2;0;0
KLO;30.04.1991 00:00;5.8;0;0
KLO;01.05.1991 00:00;3;0;0
KLO;02.05.1991 00:00;0.5;0;0
KLO;03.05.1991 00:00;0.1;0;0
KLO;04.05.1991 00:00;3.1;0;0
KLO;05.05.1991 00:00;0.1;0;0
KLO;06.05.1991 00:00;0.1;0;0
KLO;07.05.1991 00:00;7.8;0;0
KLO;08.05.1991 00:00;0;0;0
KLO;09.05.1991 00:00;0;0;0
KLO;10.05.1991 00:00;23.4;0;0
KLO;11.05.1991 00:00;35.1;0;0
KLO;12.05.1991 00:00;0.2;0;0
KLO;13.05.1991 00:00;0;0;0
KLO;14.05.1991 00:00;10.2;0;0
KLO;15.05.1991 00:00;3.4;0;0
KLO;16.05.1991 00:00;0.7;0;0
KLO;17.05.1991 00:00;8.8;0;0
KLO;18.05.1991 00:00;1.7;0;0
KLO;19.05.1991 00:00;0;0;0
KLO;20.05.1991 00:00;0;0;0
KLO;21.05.1991 00:00;0;0;0
KLO;22.05.1991 00:00;0;0;0
KLO;23.05.1991 00:00;0;0;0
KLO;24.05.1991 00:00;0;0;0
KLO;25.05.1991 00:00;2.4;0;0
KLO;26.05.1991 00:00;0.7;0;0
KLO;27.05.1991 00:00;0;0;0
KLO;28.05.1991 00:00;0;0;0
KLO;29.05.1991 00:00;0;0;0
KLO;30.05.1991 00:00;0;0;0
KLO;31.05.1991 00:00;0;0;0
KLO;01.06.1991 00:00;0;0;0
KLO;02.06.1991 00:00;6;0;0
KLO;03.06.1991 00:00;8.9;0;0
KLO;04.06.1991 00:00;0.2;0;0
KLO;05.06.1991 00:00;5.3;0;0
KLO;06.06.1991 00:00;15.4;0;0
KLO;07.06.1991 00:00;4.2;0;0
KLO;08.06.1991 00:00;2;0;0
KLO;09.06.1991 00:00;9.1;0;0
KLO;10.06.1991 00:00;0.3;0;0
KLO;11.06.1991 00:00;0;0;0
KLO;12.06.1991 00:00;1.7;0;0
KLO;13.06.1991 00:00;0.1;0;0
KLO;14.06.1991 00:00;0;0;0
KLO;15.06.1991 00:00;12.8;0;0
KLO;16.06.1991 00:00;35.2;0;0
KLO;17.06.1991 00:00;23.6;0;0
KLO;18.06.1991 00:00;1.9;0;0
KLO;19.06.1991 00:00;0;0;0
KLO;20.06.1991 00:00;9;0;0
KLO;21.06.1991 00:00;0;0;0
KLO;22.06.1991 00:00;5.8;0;0
KLO;23.06.1991 00:00;1;0;0
KLO;24.06.1991 00:00;0.3;0;0
KLO;25.06.1991 00:00;0;0;0
KLO;26.06.1991 00:00;13.3;0;0
KLO;27.06.1991 00:00;2.8;0;0
KLO;28.06.1991 00:00;12.8;0;0
KLO;29.06.1991 00:00;2;0;0
KLO;30.06.1991 00:00;0;0;0
KLO;01.07.1991 00:00;0;0;0
KLO;02.07.1991 00:00;0;0;0
KLO;03.07.1991 00:00;0;0;0
KLO;04.07.1991 00:00;0;0;0
KLO;05.07.1991 00:00;0;0;0
KLO;06.07.1991 00:00;0;0;0
KLO;07.07.1991 00:00;0.1;0;0
KLO;08.07.1991 00:00;0;0;0
KLO;09.07.1991 00:00;0.5;0;0
KLO;10.07.1991 00:00;0;0;0
KLO;11.07.1991 00:00;0;0;0
KLO;12.07.1991 00:00;0.3;0;0
KLO;13.07.1991 00:00;0.8;0;0
KLO;14.07.1991 00:00;4.7;0;0
KLO;15.07.1991 00:00;0;0;0
KLO;16.07.1991 00:00;0;0;0
KLO;17.07.1991 00:00;6.8;0;0
KLO;18.07.1991 00:00;0.1;0;0
KLO;19.07.1991 00:00;2.3;0;0
KLO;20.07.1991 00:00;0;0;0
KLO;21.07.1991 00:00;0;0;0
KLO;22.07.1991 00:00;0;0;0
KLO;23.07.1991 00:00;12.9;0;0
KLO;24.07.1991 00:00;6.4;0;0
KLO;25.07.1991 00:00;10.4;0;0
KLO;26.07.1991 00:00;5.7;0;0
KLO;27.07.1991 00:00;0;0;0
KLO;28.07.1991 00:00;0;0;0
KLO;29.07.1991 00:00;0;0;0
KLO;30.07.1991 00:00;2.2;0;0
KLO;31.07.1991 00:00;2.3;0;0
KLO;01.08.1991 00:00;0;0;0
KLO;02.08.1991 00:00;0;0;0
KLO;03.08.1991 00:00;0;0;0
KLO;04.08.1991 00:00;0;0;0
KLO;05.08.1991 00:00;0;0;0
KLO;06.08.1991 00:00;0;0;0
KLO;07.08.1991 00:00;0;0;0
KLO;08.08.1991 00:00;11.1;0;0
KLO;09.08.1991 00:00;0;0;0
KLO;10.08.1991 00:00;0;0;0
KLO;11.08.1991 00:00;0;0;0
KLO;12.08.1991 00:00;0;0;0
KLO;13.08.1991 00:00;0;0;0
KLO;14.08.1991 00:00;0;0;0
KLO;15.08.1991 00:00;0;0;0
KLO;16.08.1991 00:00;0;0;0
KLO;17.08.1991 00:00;0;0;0
KLO;18.08.1991 00:00;0;0;0
KLO;19.08.1991 00:00;0;0;0
KLO;20.08.1991 00:00;0;0;0
KLO;21.08.1991 00:00;0;0;0
KLO;22.08.1991 00:00;3.6;0;0
KLO;23.08.1991 00:00;2.6;0;0
KLO;24.08.1991 00:00;0;0;0
KLO;25.08.1991 00:00;0;0;0
KLO;26.08.1991 00:00;0;0;0
KLO;27.08.1991 00:00;0;0;0
KLO;28.08.1991 00:00;0;0;0
KLO;29.08.1991 00:00;0;0;0
KLO;30.08.1991 00:00;0;0;0
KLO;31.08.1991 00:00;0;0;0
KLO;01.09.1991 00:00;0;0;0
KLO;02.09.1991 00:00;0;0;0
KLO;03.09.1991 00:00;0;0;0
KLO;04.09.1991 00:00;0;0;0
KLO;05.09.1991 00:00;0;0;0
KLO;06.09.1991 00:00;0;0;0
KLO;07.09.1991 00:00;0;0;0
KLO;08.09.1991 00:00;0;0;0
KLO;09.09.1991 00:00;0;0;0
KLO;10.09.1991 00:00;0;0;0
KLO;11.09.1991 00:00;18.3;0;0
KLO;12.09.1991 00:00;0;0;0
KLO;13.09.1991 00:00;0;0;0
KLO;14.09.1991 00:00;0;0;0
KLO;15.09.1991 00:00;0;0;0
KLO;16.09.1991 00:00;0.3;0;0
KLO;17.09.1991 00:00;0;0;0
KLO;18.09.1991 00:00;0;0;0
KLO;19.09.1991 00:00;0;0;0
KLO;20.09.1991 00:00;0;0;0
KLO;21.09.1991 00:00;0.5;0;0
KLO;22.09.1991 00:00;27.1;0;0
KLO;23.09.1991 00:00;0;0;0
KLO;24.09.1991 00:00;0;0;0
KLO;25.09.1991 00:00;0;0;0
KLO;26.09.1991 00:00;14.4;0;0
KLO;27.09.1991 00:00;4.5;0;0
KLO;28.09.1991 00:00;0.1;0;0
KLO;29.09.1991 00:00;1.6;0;0
KLO;30.09.1991 00:00;0.7;0;0
KLO;01.10.1991 00:00;0.3;0;0
KLO;02.10.1991 00:00;0;0;0
KLO;03.10.1991 00:00;0;0;0
KLO;04.10.1991 00:00;0.1;0;0
KLO;05.10.1991 00:00;2.1;0;0
KLO;06.10.1991 00:00;3.7;0;0
KLO;07.10.1991 00:00;0;0;0
KLO;08.10.1991 00:00;0;0;0
KLO;09.10.1991 00:00;0;0;0
KLO;10.10.1991 00:00;0;0;0
KLO;11.10.1991 00:00;0;0;0
KLO;12.10.1991 00:00;6.3;0;0
KLO;13.10.1991 00:00;0.3;0;0
KLO;14.10.1991 00:00;0;0;0
KLO;15.10.1991 00:00;0;0;0
KLO;16.10.1991 00:00;0;0;0
KLO;17.10.1991 00:00;4.5;0;0
KLO;18.10.1991 00:00;0.4;0;0
KLO;19.10.1991 00:00;3.1;0;0
KLO;20.10.1991 00:00;0.2;0;0
KLO;21.10.1991 00:00;0;0;0
KLO;22.10.1991 00:00;0;0;0
KLO;23.10.1991 00:00;0;0;0
KLO;24.10.1991 00:00;0;0;0
KLO;25.10.1991 00:00;0;0;0
KLO;26.10.1991 00:00;0;0;0
KLO;27.10.1991 00:00;0;0;0
KLO;28.10.1991 00:00;0;0;0
KLO;29.10.1991 00:00;0;0;0
KLO;30.10.1991 00:00;1.5;0;0
KLO;31.10.1991 00:00;0;0;0
KLO;01.11.1991 00:00;0;0;0
KLO;02.11.1991 00:00;6.2;0;0
KLO;03.11.1991 00:00;16.8;0;0
KLO;04.11.1991 00:00;10.2;0;0
KLO;05.11.1991 00:00;1.7;0;0
KLO;06.11.1991 00:00;0.3;0;0
KLO;07.11.1991 00:00;0;0;0
KLO;08.11.1991 00:00;2.4;0;0
KLO;09.11.1991 00:00;8.2;0;0
KLO;10.11.1991 00:00;0;0;0
KLO;11.11.1991 00:00;1;0;0
KLO;12.11.1991 00:00;1.3;0;0
KLO;13.11.1991 00:00;9.9;0;0
KLO;14.11.1991 00:00;0;0;0
KLO;15.11.1991 00:00;3.5;0;0
KLO;16.11.1991 00:00;23.4;6;0
KLO;17.11.1991 00:00;0.5;1;6
KLO;18.11.1991 00:00;7.8;0;3
KLO;19.11.1991 00:00;0;0;0
KLO;20.11.1991 00:00;4;0;0
KLO;21.11.1991 00:00;0;0;0
KLO;22.11.1991 00:00;0;0;0
KLO;23.11.1991 00:00;0;0;0
KLO;24.11.1991 00:00;0;0;0
KLO;25.11.1991 00:00;0;0;0
KLO;26.11.1991 00:00;0;0;0
KLO;27.11.1991 00:00;0;0;0
KLO;28.11.1991 00:00;0;0;0
KLO;29.11.1991 00:00;0;0;0
KLO;30.11.1991 00:00;0;0;0
KLO;01.12.1991 00:00;0;0;0
KLO;02.12.1991 00:00;0;0;0
KLO;03.12.1991 00:00;0;0;0
KLO;04.12.1991 00:00;0;0;0
KLO;05.12.1991 00:00;0;0;0
KLO;06.12.1991 00:00;0;0;0
KLO;07.12.1991 00:00;0;0;0
KLO;08.12.1991 00:00;0;0;0
KLO;09.12.1991 00:00;0;0;0
KLO;10.12.1991 00:00;0;0;0
KLO;11.12.1991 00:00;0;0;0
KLO;12.12.1991 00:00;0;0;0
KLO;13.12.1991 00:00;0;0;0
KLO;14.12.1991 00:00;0;0;0
KLO;15.12.1991 00:00;0;0;0
KLO;16.12.1991 00:00;0.3;0;0
KLO;17.12.1991 00:00;3;0;0
KLO;18.12.1991 00:00;9.8;0;0
KLO;19.12.1991 00:00;4.8;0;0
KLO;20.12.1991 00:00;7;8;0
KLO;21.12.1991 00:00;17.6;0;8
KLO;22.12.1991 00:00;3.2;0;0
KLO;23.12.1991 00:00;0.7;0;0
KLO;24.12.1991 00:00;0;0;0
KLO;25.12.1991 00:00;0;0;0
KLO;26.12.1991 00:00;0.5;0;0
KLO;27.12.1991 00:00;0;0;0
KLO;28.12.1991 00:00;0;0;0
KLO;29.12.1991 00:00;0;0;0
KLO;30.12.1991 00:00;0;0;0
KLO;31.12.1991 00:00;0;0;0
KLO;01.01.1992 00:00;0;0;0
KLO;02.01.1992 00:00;0;0;0
KLO;03.01.1992 00:00;0;0;0
KLO;04.01.1992 00:00;0;0;0
KLO;05.01.1992 00:00;0;0;0
KLO;06.01.1992 00:00;0;0;0
KLO;07.01.1992 00:00;0;0;0
KLO;08.01.1992 00:00;0;0;0
KLO;09.01.1992 00:00;0.5;0;0
KLO;10.01.1992 00:00;7.5;1;0
KLO;11.01.1992 00:00;0;0;1
KLO;12.01.1992 00:00;0;0;0
KLO;13.01.1992 00:00;0;0;0
KLO;14.01.1992 00:00;0;0;0
KLO;15.01.1992 00:00;0;0;0
KLO;16.01.1992 00:00;0;0;0
KLO;17.01.1992 00:00;0;0;0
KLO;18.01.1992 00:00;0;0;0
KLO;19.01.1992 00:00;6.7;12;0
KLO;20.01.1992 00:00;0.5;0;12
KLO;21.01.1992 00:00;0;0;7
KLO;22.01.1992 00:00;0;0;6
KLO;23.01.1992 00:00;0;0;6
KLO;24.01.1992 00:00;0;0;5
KLO;25.01.1992 00:00;0;1;5
KLO;26.01.1992 00:00;0;0;6
KLO;27.01.1992 00:00;0;0;6
KLO;28.01.1992 00:00;0;0;6
KLO;29.01.1992 00:00;0;0;6
KLO;30.01.1992 00:00;0;0;5
KLO;31.01.1992 00:00;0;0;5
KLO;01.02.1992 00:00;0;0;4
KLO;02.02.1992 00:00;0;0;3
KLO;03.02.1992 00:00;1.8;0;3
KLO;04.02.1992 00:00;11.5;0;2
KLO;05.02.1992 00:00;2.2;0;0
KLO;06.02.1992 00:00;0;0;0
KLO;07.02.1992 00:00;0;0;0
KLO;08.02.1992 00:00;0;0;0
KLO;09.02.1992 00:00;2.6;0;0
KLO;10.02.1992 00:00;0.2;0;0
KLO;11.02.1992 00:00;5.1;0;0
