station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SIO;21.12.1958 00:00;3;0;0
SIO;22.12.1958 00:00;0;0;0
SIO;23.12.1958 00:00;0;0;0
SIO;24.12.1958 00:00;0;0;0
SIO;25.12.1958 00:00;0;0;0
SIO;26.12.1958 00:00;0;0;0
SIO;27.12.1958 00:00;1.4;0;0
SIO;28.12.1958 00:00;6;0;0
SIO;29.12.1958 00:00;0;0;0
SIO;30.12.1958 00:00;0;0;0
SIO;31.12.1958 00:00;0;0;0
SIO;01.01.1959 00:00;0;0;0
SIO;02.01.1959 00:00;0.8;1;0
SIO;03.01.1959 00:00;4.4;2;1
SIO;04.01.1959 00:00;3.3;2;3
SIO;05.01.1959 00:00;2.5;5;5
SIO;06.01.1959 00:00;14.2;10;10
SIO;07.01.1959 00:00;10.5;5;20
SIO;08.01.1959 00:00;3.8;5;10
SIO;09.01.1959 00:00;1.4;2;15
SIO;10.01.1959 00:00;1;0;16
SIO;11.01.1959 00:00;0;0;16
SIO;12.01.1959 00:00;0;0;10
SIO;13.01.1959 00:00;4;7;10
SIO;14.01.1959 00:00;8;0;17
SIO;15.01.1959 00:00;0.1;0;12
SIO;16.01.1959 00:00;1.2;0;10
SIO;17.01.1959 00:00;0;0;10
SIO;18.01.1959 00:00;0;0;10
SIO;19.01.1959 00:00;0;0;10
SIO;20.01.1959 00:00;0;0;10
SIO;21.01.1959 00:00;3;0;10
SIO;22.01.1959 00:00;4;0;5
SIO;23.01.1959 00:00;8.5;0;5
SIO;24.01.1959 00:00;9.4;0;4
SIO;25.01.1959 00:00;0;0;4
SIO;26.01.1959 00:00;0;0;3
SIO;27.01.1959 00:00;0;0;3
SIO;28.01.1959 00:00;0;0;3
SIO;29.01.1959 00:00;0;0;3
SIO;30.01.1959 00:00;0;0;3
SIO;31.01.1959 00:00;0;0;3
SIO;01.02.1959 00:00;0;0;0
SIO;02.02.1959 00:00;0;0;0
SIO;03.02.1959 00:00;0;0;0
SIO;04.02.1959 00:00;0;0;0
SIO;05.02.1959 00:00;0;0;0
SIO;06.02.1959 00:00;0;0;0
SIO;07.02.1959 00:00;0;0;0
SIO;08.02.1959 00:00;0;0;0
SIO;09.02.1959 00:00;0;0;0
SIO;10.02.1959 00:00;0;0;0
SIO;11.02.1959 00:00;0;0;0
SIO;12.02.1959 00:00;0;0;0
SIO;13.02.1959 00:00;0;0;0
SIO;14.02.1959 00:00;0;0;0
SIO;15.02.1959 00:00;0;0;0
SIO;16.02.1959 00:00;0;0;0
SIO;17.02.1959 00:00;0;0;0
SIO;18.02.1959 00:00;0;0;0
SIO;19.02.1959 00:00;0;0;0
SIO;20.02.1959 00:00;0;0;0
SIO;21.02.1959 00:00;0.2;0;0
SIO;22.02.1959 00:00;0;0;0
SIO;23.02.1959 00:00;0;0;0
SIO;24.02.1959 00:00;0;0;0
SIO;25.02.1959 00:00;0;0;0
SIO;26.02.1959 00:00;0;0;0
SIO;27.02.1959 00:00;0;0;0
SIO;28.02.1959 00:00;0;0;0
SIO;01.03.1959 00:00;0;0;0
SIO;02.03.1959 00:00;0;0;0
SIO;03.03.1959 00:00;0;0;0
SIO;04.03.1959 00:00;0;0;0
SIO;05.03.1959 00:00;0;0;0
SIO;06.03.1959 00:00;0;0;0
SIO;07.03.1959 00:00;2.4;0;0
SIO;08.03.1959 00:00;0;0;0
SIO;09.03.1959 00:00;0;0;0
SIO;10.03.1959 00:00;0;0;0
SIO;11.03.1959 00:00;1;0;0
SIO;12.03.1959 00:00;0;0;0
SIO;13.03.1959 00:00;0;0;0
SIO;14.03.1959 00:00;0;0;0
SIO;15.03.1959 00:00;0;0;0
SIO;16.03.1959 00:00;2;0;0
SIO;17.03.1959 00:00;0;0;0
SIO;18.03.1959 00:00;0;0;0
SIO;19.03.1959 00:00;0;0;0
SIO;20.03.1959 00:00;0;0;0
SIO;21.03.1959 00:00;0;0;0
SIO;22.03.1959 00:00;0;0;0
SIO;23.03.1959 00:00;0;0;0
SIO;24.03.1959 00:00;0;0;0
SIO;25.03.1959 00:00;8.5;0;0
SIO;26.03.1959 00:00;0;0;0
SIO;27.03.1959 00:00;0;0;0
SIO;28.03.1959 00:00;1;0;0
SIO;29.03.1959 00:00;1;0;0
SIO;30.03.1959 00:00;0;0;0
SIO;31.03.1959 00:00;0;0;0
SIO;01.04.1959 00:00;0;0;0
SIO;02.04.1959 00:00;0;0;0
SIO;03.04.1959 00:00;0;0;0
SIO;04.04.1959 00:00;0;0;0
SIO;05.04.1959 00:00;0;0;0
SIO;06.04.1959 00:00;0;0;0
SIO;07.04.1959 00:00;2;0;0
SIO;08.04.1959 00:00;0;0;0
SIO;09.04.1959 00:00;5;0;0
SIO;10.04.1959 00:00;10;0;0
SIO;11.04.1959 00:00;1;0;0
SIO;12.04.1959 00:00;0;0;0
SIO;13.04.1959 00:00;0;0;0
SIO;14.04.1959 00:00;0;0;0
SIO;15.04.1959 00:00;0;0;0
SIO;16.04.1959 00:00;12;0;0
SIO;17.04.1959 00:00;0.6;0;0
SIO;18.04.1959 00:00;0;0;0
SIO;19.04.1959 00:00;0;0;0
SIO;20.04.1959 00:00;0;0;0
SIO;21.04.1959 00:00;0;0;0
SIO;22.04.1959 00:00;0;0;0
SIO;23.04.1959 00:00;0;0;0
SIO;24.04.1959 00:00;0;0;0
SIO;25.04.1959 00:00;0;0;0
SIO;26.04.1959 00:00;4.6;0;0
SIO;27.04.1959 00:00;0;0;0
SIO;28.04.1959 00:00;3.5;0;0
SIO;29.04.1959 00:00;18;0;0
SIO;30.04.1959 00:00;15.2;0;0
SIO;01.05.1959 00:00;1.8;0;0
SIO;02.05.1959 00:00;0;0;0
SIO;03.05.1959 00:00;0;0;0
SIO;04.05.1959 00:00;0;0;0
SIO;05.05.1959 00:00;0;0;0
SIO;06.05.1959 00:00;0;0;0
SIO;07.05.1959 00:00;0;0;0
SIO;08.05.1959 00:00;0;0;0
SIO;09.05.1959 00:00;0;0;0
SIO;10.05.1959 00:00;0;0;0
SIO;11.05.1959 00:00;0;0;0
SIO;12.05.1959 00:00;4.6;0;0
SIO;13.05.1959 00:00;0;0;0
SIO;14.05.1959 00:00;3.5;0;0
SIO;15.05.1959 00:00;0.6;0;0
SIO;16.05.1959 00:00;0;0;0
SIO;17.05.1959 00:00;0;0;0
SIO;18.05.1959 00:00;0;0;0
SIO;19.05.1959 00:00;0;0;0
SIO;20.05.1959 00:00;0;0;0
