station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LEH;17.12.1986 00:00;9.2;;
LEH;18.12.1986 00:00;3.5;;
LEH;19.12.1986 00:00;20.2;;
LEH;20.12.1986 00:00;24.2;;
LEH;21.12.1986 00:00;4.1;;
LEH;22.12.1986 00:00;6.5;;
LEH;23.12.1986 00:00;1.1;;
LEH;24.12.1986 00:00;1.4;;
LEH;25.12.1986 00:00;1.5;;
LEH;26.12.1986 00:00;8.3;;
LEH;27.12.1986 00:00;18.8;;
LEH;28.12.1986 00:00;6.2;;
LEH;29.12.1986 00:00;0;;
LEH;30.12.1986 00:00;0;;
LEH;31.12.1986 00:00;0;;
LEH;01.01.1987 00:00;7.2;;
LEH;02.01.1987 00:00;7.4;;
LEH;03.01.1987 00:00;2.4;;
LEH;04.01.1987 00:00;0;;
LEH;05.01.1987 00:00;0.4;;
LEH;06.01.1987 00:00;18.2;;
LEH;07.01.1987 00:00;6.2;;
LEH;08.01.1987 00:00;0;;
LEH;09.01.1987 00:00;0;;
LEH;10.01.1987 00:00;4.5;;
LEH;11.01.1987 00:00;8.4;;
LEH;12.01.1987 00:00;0;;
LEH;13.01.1987 00:00;0;;
LEH;14.01.1987 00:00;1.7;;
LEH;15.01.1987 00:00;0;;
LEH;16.01.1987 00:00;0;;
LEH;17.01.1987 00:00;0;;
LEH;18.01.1987 00:00;0;;
LEH;19.01.1987 00:00;0;;
LEH;20.01.1987 00:00;0;;
LEH;21.01.1987 00:00;0;;
LEH;22.01.1987 00:00;0;;
LEH;23.01.1987 00:00;0.4;;
LEH;24.01.1987 00:00;0;;
LEH;25.01.1987 00:00;0;;
LEH;26.01.1987 00:00;0;;
LEH;27.01.1987 00:00;0;;
LEH;28.01.1987 00:00;1.8;;
LEH;29.01.1987 00:00;0;;
LEH;30.01.1987 00:00;0;;
LEH;31.01.1987 00:00;0;;
LEH;01.02.1987 00:00;0;;
LEH;02.02.1987 00:00;0;;
LEH;03.02.1987 00:00;0;;
LEH;04.02.1987 00:00;0;;
LEH;05.02.1987 00:00;0;;
LEH;06.02.1987 00:00;0;;
LEH;07.02.1987 00:00;1.4;;
LEH;08.02.1987 00:00;0;;
LEH;09.02.1987 00:00;0;;
LEH;10.02.1987 00:00;0;;
LEH;11.02.1987 00:00;0;;
LEH;12.02.1987 00:00;2;;
LEH;13.02.1987 00:00;0.8;;
LEH;14.02.1987 00:00;6.1;;
LEH;15.02.1987 00:00;14.1;;
LEH;16.02.1987 00:00;2.3;;
LEH;17.02.1987 00:00;2;;
LEH;18.02.1987 00:00;7.4;;
LEH;19.02.1987 00:00;2.1;;
LEH;20.02.1987 00:00;1.2;;
LEH;21.02.1987 00:00;0;;
LEH;22.02.1987 00:00;0;;
LEH;23.02.1987 00:00;0;;
LEH;24.02.1987 00:00;0;;
LEH;25.02.1987 00:00;0;;
LEH;26.02.1987 00:00;0.4;;
LEH;27.02.1987 00:00;14.5;;
LEH;28.02.1987 00:00;13.4;;
LEH;01.03.1987 00:00;6.2;;
LEH;02.03.1987 00:00;18.8;;
LEH;03.03.1987 00:00;2.8;;
LEH;04.03.1987 00:00;3.1;;
LEH;05.03.1987 00:00;0.6;;
LEH;06.03.1987 00:00;0;;
LEH;07.03.1987 00:00;0;;
LEH;08.03.1987 00:00;0;;
LEH;09.03.1987 00:00;0;;
LEH;10.03.1987 00:00;0;;
LEH;11.03.1987 00:00;0;;
LEH;12.03.1987 00:00;0;;
LEH;13.03.1987 00:00;0;;
LEH;14.03.1987 00:00;0;;
LEH;15.03.1987 00:00;1.2;;
LEH;16.03.1987 00:00;22.7;;
LEH;17.03.1987 00:00;0.4;;
LEH;18.03.1987 00:00;0.5;;
LEH;19.03.1987 00:00;6.2;;
LEH;20.03.1987 00:00;2.2;;
LEH;21.03.1987 00:00;0;;
LEH;22.03.1987 00:00;0;;
LEH;23.03.1987 00:00;0;;
LEH;24.03.1987 00:00;0;;
LEH;25.03.1987 00:00;0;;
LEH;26.03.1987 00:00;0;;
LEH;27.03.1987 00:00;0;;
LEH;28.03.1987 00:00;11.2;;
LEH;29.03.1987 00:00;1.4;;
LEH;30.03.1987 00:00;4.8;;
LEH;31.03.1987 00:00;1.1;;
LEH;01.04.1987 00:00;0;;
LEH;02.04.1987 00:00;0;;
LEH;03.04.1987 00:00;0;;
LEH;04.04.1987 00:00;23.2;;
LEH;05.04.1987 00:00;0;;
LEH;06.04.1987 00:00;0;;
LEH;07.04.1987 00:00;0;;
LEH;08.04.1987 00:00;1.7;;
LEH;09.04.1987 00:00;17.8;;
LEH;10.04.1987 00:00;3.4;;
LEH;11.04.1987 00:00;0;;
LEH;12.04.1987 00:00;2.7;;
LEH;13.04.1987 00:00;0.4;;
LEH;14.04.1987 00:00;0;;
LEH;15.04.1987 00:00;0;;
LEH;16.04.1987 00:00;0;;
LEH;17.04.1987 00:00;0;;
LEH;18.04.1987 00:00;0;;
LEH;19.04.1987 00:00;0;;
LEH;20.04.1987 00:00;3.6;;
LEH;21.04.1987 00:00;0.4;;
LEH;22.04.1987 00:00;0;;
LEH;23.04.1987 00:00;0;;
LEH;24.04.1987 00:00;0;;
LEH;25.04.1987 00:00;0;;
LEH;26.04.1987 00:00;0.5;;
LEH;27.04.1987 00:00;1.8;;
LEH;28.04.1987 00:00;0;;
LEH;29.04.1987 00:00;0;;
LEH;30.04.1987 00:00;0;;
LEH;01.05.1987 00:00;0;;
LEH;02.05.1987 00:00;17.7;;
LEH;03.05.1987 00:00;30.5;;
LEH;04.05.1987 00:00;8.8;;
LEH;05.05.1987 00:00;5.6;;
LEH;06.05.1987 00:00;1.8;;
LEH;07.05.1987 00:00;0;;
LEH;08.05.1987 00:00;0;;
LEH;09.05.1987 00:00;0;;
LEH;10.05.1987 00:00;6.2;;
LEH;11.05.1987 00:00;0;;
LEH;12.05.1987 00:00;8.8;;
LEH;13.05.1987 00:00;1.4;;
LEH;14.05.1987 00:00;0;;
LEH;15.05.1987 00:00;7.6;;
LEH;16.05.1987 00:00;1.1;;
LEH;17.05.1987 00:00;0;;
LEH;18.05.1987 00:00;1.2;;
LEH;19.05.1987 00:00;1.3;;
LEH;20.05.1987 00:00;2.2;;
LEH;21.05.1987 00:00;0.4;;
LEH;22.05.1987 00:00;0;;
LEH;23.05.1987 00:00;0;;
LEH;24.05.1987 00:00;0;;
LEH;25.05.1987 00:00;0.4;;
LEH;26.05.1987 00:00;1.4;;
LEH;27.05.1987 00:00;9.1;;
LEH;28.05.1987 00:00;0;;
LEH;29.05.1987 00:00;0;;
LEH;30.05.1987 00:00;0;;
LEH;31.05.1987 00:00;8.6;;
LEH;01.06.1987 00:00;0;;
LEH;02.06.1987 00:00;0;;
LEH;03.06.1987 00:00;12.1;;
LEH;04.06.1987 00:00;22.2;;
LEH;05.06.1987 00:00;0;;
LEH;06.06.1987 00:00;0;;
LEH;07.06.1987 00:00;0;;
LEH;08.06.1987 00:00;73.2;;
LEH;09.06.1987 00:00;18.4;;
LEH;10.06.1987 00:00;0;;
LEH;11.06.1987 00:00;0;;
LEH;12.06.1987 00:00;0;;
LEH;13.06.1987 00:00;14.2;;
LEH;14.06.1987 00:00;5;;
LEH;15.06.1987 00:00;46.4;;
LEH;16.06.1987 00:00;2.4;;
LEH;17.06.1987 00:00;0;;
LEH;18.06.1987 00:00;0;;
LEH;19.06.1987 00:00;2;;
LEH;20.06.1987 00:00;4.2;;
LEH;21.06.1987 00:00;0;;
LEH;22.06.1987 00:00;0;;
LEH;23.06.1987 00:00;0;;
LEH;24.06.1987 00:00;3.1;;
LEH;25.06.1987 00:00;2.1;;
LEH;26.06.1987 00:00;44.2;;
LEH;27.06.1987 00:00;0;;
LEH;28.06.1987 00:00;0;;
LEH;29.06.1987 00:00;0;;
LEH;30.06.1987 00:00;0;;
LEH;01.07.1987 00:00;11.4;;
LEH;02.07.1987 00:00;7.7;;
LEH;03.07.1987 00:00;23.6;;
LEH;04.07.1987 00:00;0;;
LEH;05.07.1987 00:00;0;;
LEH;06.07.1987 00:00;0;;
LEH;07.07.1987 00:00;0;;
LEH;08.07.1987 00:00;2.7;;
LEH;09.07.1987 00:00;0.4;;
LEH;10.07.1987 00:00;0;;
LEH;11.07.1987 00:00;0;;
LEH;12.07.1987 00:00;0.4;;
LEH;13.07.1987 00:00;0;;
LEH;14.07.1987 00:00;0.9;;
LEH;15.07.1987 00:00;8.8;;
LEH;16.07.1987 00:00;0.5;;
LEH;17.07.1987 00:00;59.1;;
LEH;18.07.1987 00:00;43.8;;
LEH;19.07.1987 00:00;21.6;;
LEH;20.07.1987 00:00;14.7;;
LEH;21.07.1987 00:00;23.5;;
LEH;22.07.1987 00:00;5.1;;
LEH;23.07.1987 00:00;13.2;;
LEH;24.07.1987 00:00;2.6;;
LEH;25.07.1987 00:00;23.7;;
LEH;26.07.1987 00:00;0;;
LEH;27.07.1987 00:00;13.7;;
LEH;28.07.1987 00:00;0;;
LEH;29.07.1987 00:00;0;;
LEH;30.07.1987 00:00;3.8;;
LEH;31.07.1987 00:00;0;;
LEH;01.08.1987 00:00;0;;
LEH;02.08.1987 00:00;4.7;;
LEH;03.08.1987 00:00;0;;
LEH;04.08.1987 00:00;2.4;;
LEH;05.08.1987 00:00;0;;
LEH;06.08.1987 00:00;0;;
LEH;07.08.1987 00:00;1.3;;
LEH;08.08.1987 00:00;0;;
LEH;09.08.1987 00:00;4.4;;
LEH;10.08.1987 00:00;0;;
LEH;11.08.1987 00:00;0;;
LEH;12.08.1987 00:00;0;;
LEH;13.08.1987 00:00;0;;
LEH;14.08.1987 00:00;3.4;;
LEH;15.08.1987 00:00;1.2;;
LEH;16.08.1987 00:00;0;;
LEH;17.08.1987 00:00;24.2;;
LEH;18.08.1987 00:00;3.1;;
LEH;19.08.1987 00:00;0;;
LEH;20.08.1987 00:00;0;;
LEH;21.08.1987 00:00;0;;
LEH;22.08.1987 00:00;0;;
LEH;23.08.1987 00:00;25.7;;
LEH;24.08.1987 00:00;36.7;;
LEH;25.08.1987 00:00;14.6;;
LEH;26.08.1987 00:00;0;;
LEH;27.08.1987 00:00;5.1;;
LEH;28.08.1987 00:00;0;;
LEH;29.08.1987 00:00;0;;
LEH;30.08.1987 00:00;0;;
LEH;31.08.1987 00:00;0;;
LEH;01.09.1987 00:00;9.1;;
LEH;02.09.1987 00:00;0;;
LEH;03.09.1987 00:00;3.7;;
LEH;04.09.1987 00:00;3.6;;
LEH;05.09.1987 00:00;17.7;;
LEH;06.09.1987 00:00;0;;
LEH;07.09.1987 00:00;0;;
LEH;08.09.1987 00:00;1.2;;
LEH;09.09.1987 00:00;0;;
LEH;10.09.1987 00:00;0;;
LEH;11.09.1987 00:00;0;;
LEH;12.09.1987 00:00;0;;
LEH;13.09.1987 00:00;0;;
LEH;14.09.1987 00:00;0;;
LEH;15.09.1987 00:00;0;;
LEH;16.09.1987 00:00;0;;
LEH;17.09.1987 00:00;0;;
LEH;18.09.1987 00:00;0;;
LEH;19.09.1987 00:00;0;;
LEH;20.09.1987 00:00;0;;
LEH;21.09.1987 00:00;0;;
LEH;22.09.1987 00:00;1.2;;
LEH;23.09.1987 00:00;9.7;;
LEH;24.09.1987 00:00;0;;
LEH;25.09.1987 00:00;0;;
LEH;26.09.1987 00:00;44.1;;
LEH;27.09.1987 00:00;0;;
LEH;28.09.1987 00:00;0;;
LEH;29.09.1987 00:00;0;;
LEH;30.09.1987 00:00;0;;
LEH;01.10.1987 00:00;0;;
LEH;02.10.1987 00:00;0;;
LEH;03.10.1987 00:00;0;;
LEH;04.10.1987 00:00;0;;
LEH;05.10.1987 00:00;0;;
LEH;06.10.1987 00:00;1.3;;
LEH;07.10.1987 00:00;0;;
LEH;08.10.1987 00:00;2.2;;
LEH;09.10.1987 00:00;0;;
LEH;10.10.1987 00:00;0;;
LEH;11.10.1987 00:00;10.3;;
LEH;12.10.1987 00:00;14.2;;
LEH;13.10.1987 00:00;0;;
LEH;14.10.1987 00:00;0;;
LEH;15.10.1987 00:00;3.1;;
LEH;16.10.1987 00:00;0;;
LEH;17.10.1987 00:00;19.2;;
LEH;18.10.1987 00:00;0;;
LEH;19.10.1987 00:00;0;;
LEH;20.10.1987 00:00;0;;
LEH;21.10.1987 00:00;0;;
LEH;22.10.1987 00:00;3.7;;
LEH;23.10.1987 00:00;1.8;;
LEH;24.10.1987 00:00;1.8;;
LEH;25.10.1987 00:00;0;;
LEH;26.10.1987 00:00;0;;
LEH;27.10.1987 00:00;0;;
LEH;28.10.1987 00:00;0;;
LEH;29.10.1987 00:00;0;;
LEH;30.10.1987 00:00;0;;
LEH;31.10.1987 00:00;0;;
LEH;01.11.1987 00:00;0.5;;
LEH;02.11.1987 00:00;0;;
LEH;03.11.1987 00:00;0;;
LEH;04.11.1987 00:00;0;;
LEH;05.11.1987 00:00;0;;
LEH;06.11.1987 00:00;0;;
LEH;07.11.1987 00:00;0;;
LEH;08.11.1987 00:00;0;;
LEH;09.11.1987 00:00;0;;
LEH;10.11.1987 00:00;0;;
LEH;11.11.1987 00:00;0;;
LEH;12.11.1987 00:00;0.4;;
LEH;13.11.1987 00:00;0;;
LEH;14.11.1987 00:00;0;;
LEH;15.11.1987 00:00;0;;
LEH;16.11.1987 00:00;3.4;;
LEH;17.11.1987 00:00;1.6;;
LEH;18.11.1987 00:00;0;;
LEH;19.11.1987 00:00;0.8;;
LEH;20.11.1987 00:00;13.4;;
LEH;21.11.1987 00:00;9.2;;
LEH;22.11.1987 00:00;0;;
LEH;23.11.1987 00:00;0;;
LEH;24.11.1987 00:00;0;;
LEH;25.11.1987 00:00;0;;
LEH;26.11.1987 00:00;0;;
LEH;27.11.1987 00:00;1.1;;
LEH;28.11.1987 00:00;1.4;;
LEH;29.11.1987 00:00;0;;
LEH;30.11.1987 00:00;0;;
LEH;01.12.1987 00:00;0;;
LEH;02.12.1987 00:00;0;;
LEH;03.12.1987 00:00;0;;
LEH;04.12.1987 00:00;0;;
LEH;05.12.1987 00:00;3.6;;
LEH;06.12.1987 00:00;3.6;;
LEH;07.12.1987 00:00;0;;
LEH;08.12.1987 00:00;0;;
LEH;09.12.1987 00:00;0;;
LEH;10.12.1987 00:00;0;;
LEH;11.12.1987 00:00;0;;
LEH;12.12.1987 00:00;0;;
LEH;13.12.1987 00:00;0;;
LEH;14.12.1987 00:00;0;;
LEH;15.12.1987 00:00;0;;
LEH;16.12.1987 00:00;0;;
LEH;17.12.1987 00:00;5.7;;
LEH;18.12.1987 00:00;6.7;;
LEH;19.12.1987 00:00;8.6;;
LEH;20.12.1987 00:00;1.8;;
LEH;21.12.1987 00:00;0;;
LEH;22.12.1987 00:00;0;;
LEH;23.12.1987 00:00;0;;
LEH;24.12.1987 00:00;0;;
LEH;25.12.1987 00:00;0;;
LEH;26.12.1987 00:00;0;;
LEH;27.12.1987 00:00;0;;
LEH;28.12.1987 00:00;0;;
LEH;29.12.1987 00:00;0;;
LEH;30.12.1987 00:00;0;;
LEH;31.12.1987 00:00;0;;
LEH;01.01.1988 00:00;0;;
LEH;02.01.1988 00:00;0.7;;
LEH;03.01.1988 00:00;0;;
LEH;04.01.1988 00:00;0;;
LEH;05.01.1988 00:00;0;;
LEH;06.01.1988 00:00;16.4;;
LEH;07.01.1988 00:00;2.2;;
LEH;08.01.1988 00:00;0;;
LEH;09.01.1988 00:00;0;;
LEH;10.01.1988 00:00;0;;
LEH;11.01.1988 00:00;0;;
LEH;12.01.1988 00:00;0;;
LEH;13.01.1988 00:00;0;;
LEH;14.01.1988 00:00;0;;
LEH;15.01.1988 00:00;3.4;;
LEH;16.01.1988 00:00;0;;
LEH;17.01.1988 00:00;0;;
LEH;18.01.1988 00:00;0;;
LEH;19.01.1988 00:00;0;;
LEH;20.01.1988 00:00;0;;
LEH;21.01.1988 00:00;5.1;;
LEH;22.01.1988 00:00;7.3;;
LEH;23.01.1988 00:00;1.1;;
LEH;24.01.1988 00:00;1.4;;
LEH;25.01.1988 00:00;1.4;;
LEH;26.01.1988 00:00;0;;
LEH;27.01.1988 00:00;0;;
LEH;28.01.1988 00:00;6.2;;
LEH;29.01.1988 00:00;6.4;;
LEH;30.01.1988 00:00;6.7;;
LEH;31.01.1988 00:00;3.8;;
LEH;01.02.1988 00:00;2;;
LEH;02.02.1988 00:00;0;;
LEH;03.02.1988 00:00;0;;
LEH;04.02.1988 00:00;0;;
LEH;05.02.1988 00:00;0;;
LEH;06.02.1988 00:00;10.8;;
LEH;07.02.1988 00:00;15.7;;
LEH;08.02.1988 00:00;4.7;;
LEH;09.02.1988 00:00;3.8;;
LEH;10.02.1988 00:00;1.4;;
LEH;11.02.1988 00:00;0;;
LEH;12.02.1988 00:00;6.2;;
LEH;13.02.1988 00:00;0;;
LEH;14.02.1988 00:00;0;;
LEH;15.02.1988 00:00;0;;
LEH;16.02.1988 00:00;0;;
LEH;17.02.1988 00:00;0;;
LEH;18.02.1988 00:00;0;;
LEH;19.02.1988 00:00;0.9;;
LEH;20.02.1988 00:00;0;;
LEH;21.02.1988 00:00;0;;
LEH;22.02.1988 00:00;0;;
LEH;23.02.1988 00:00;2.1;;
LEH;24.02.1988 00:00;11.1;;
LEH;25.02.1988 00:00;4.2;;
LEH;26.02.1988 00:00;3.2;;
LEH;27.02.1988 00:00;4.7;;
LEH;28.02.1988 00:00;1.2;;
LEH;29.02.1988 00:00;5.2;;
LEH;01.03.1988 00:00;1.6;;
LEH;02.03.1988 00:00;0;;
LEH;03.03.1988 00:00;0;;
LEH;04.03.1988 00:00;0;;
LEH;05.03.1988 00:00;4.8;;
LEH;06.03.1988 00:00;1.8;;
LEH;07.03.1988 00:00;8.8;;
LEH;08.03.1988 00:00;8.3;;
LEH;09.03.1988 00:00;0.7;;
LEH;10.03.1988 00:00;1.7;;
LEH;11.03.1988 00:00;2.1;;
LEH;12.03.1988 00:00;3.1;;
LEH;13.03.1988 00:00;0;;
LEH;14.03.1988 00:00;0;;
LEH;15.03.1988 00:00;0;;
LEH;16.03.1988 00:00;2.5;;
LEH;17.03.1988 00:00;0.4;;
LEH;18.03.1988 00:00;5.6;;
LEH;19.03.1988 00:00;0;;
LEH;20.03.1988 00:00;0;;
LEH;21.03.1988 00:00;4;;
LEH;22.03.1988 00:00;2.1;;
LEH;23.03.1988 00:00;20.8;;
LEH;24.03.1988 00:00;6.1;;
LEH;25.03.1988 00:00;6.8;;
LEH;26.03.1988 00:00;2.4;;
LEH;27.03.1988 00:00;6.8;;
LEH;28.03.1988 00:00;2.2;;
LEH;29.03.1988 00:00;0;;
LEH;30.03.1988 00:00;3;;
LEH;31.03.1988 00:00;9.2;;
LEH;01.04.1988 00:00;0;;
LEH;02.04.1988 00:00;0;;
LEH;03.04.1988 00:00;0;;
LEH;04.04.1988 00:00;0;;
LEH;05.04.1988 00:00;0;;
LEH;06.04.1988 00:00;2.1;;
LEH;07.04.1988 00:00;1.2;;
LEH;08.04.1988 00:00;0.6;;
LEH;09.04.1988 00:00;1.3;;
LEH;10.04.1988 00:00;0.4;;
LEH;11.04.1988 00:00;0;;
LEH;12.04.1988 00:00;2.7;;
LEH;13.04.1988 00:00;7.2;;
LEH;14.04.1988 00:00;0;;
LEH;15.04.1988 00:00;0;;
LEH;16.04.1988 00:00;0;;
LEH;17.04.1988 00:00;0;;
LEH;18.04.1988 00:00;0;;
LEH;19.04.1988 00:00;0;;
LEH;20.04.1988 00:00;1.7;;
LEH;21.04.1988 00:00;0;;
LEH;22.04.1988 00:00;0;;
LEH;23.04.1988 00:00;2.2;;
LEH;24.04.1988 00:00;0;;
LEH;25.04.1988 00:00;0;;
LEH;26.04.1988 00:00;0;;
LEH;27.04.1988 00:00;0;;
LEH;28.04.1988 00:00;1.9;;
LEH;29.04.1988 00:00;3.6;;
LEH;30.04.1988 00:00;2.6;;
LEH;01.05.1988 00:00;0;;
LEH;02.05.1988 00:00;15.9;;
LEH;03.05.1988 00:00;21.4;;
LEH;04.05.1988 00:00;0;;
LEH;05.05.1988 00:00;0;;
LEH;06.05.1988 00:00;0;;
LEH;07.05.1988 00:00;0;;
LEH;08.05.1988 00:00;5.6;;
LEH;09.05.1988 00:00;3.8;;
LEH;10.05.1988 00:00;7.1;;
LEH;11.05.1988 00:00;0.6;;
LEH;12.05.1988 00:00;0;;
LEH;13.05.1988 00:00;0.4;;
LEH;14.05.1988 00:00;0.3;;
LEH;15.05.1988 00:00;1.1;;
LEH;16.05.1988 00:00;6.8;;
LEH;17.05.1988 00:00;6.1;;
LEH;18.05.1988 00:00;16.8;;
LEH;19.05.1988 00:00;14.1;;
LEH;20.05.1988 00:00;1.2;;
LEH;21.05.1988 00:00;0;;
LEH;22.05.1988 00:00;0;;
LEH;23.05.1988 00:00;0;;
LEH;24.05.1988 00:00;0;;
LEH;25.05.1988 00:00;0;;
LEH;26.05.1988 00:00;1.7;;
LEH;27.05.1988 00:00;1.1;;
LEH;28.05.1988 00:00;0;;
LEH;29.05.1988 00:00;6.1;;
LEH;30.05.1988 00:00;0.6;;
LEH;31.05.1988 00:00;9.5;;
LEH;01.06.1988 00:00;1.8;;
LEH;02.06.1988 00:00;0;;
LEH;03.06.1988 00:00;1.2;;
LEH;04.06.1988 00:00;30.2;;
LEH;05.06.1988 00:00;30.4;;
LEH;06.06.1988 00:00;6.8;;
LEH;07.06.1988 00:00;0;;
LEH;08.06.1988 00:00;0;;
LEH;09.06.1988 00:00;0;;
LEH;10.06.1988 00:00;0;;
LEH;11.06.1988 00:00;33.6;;
LEH;12.06.1988 00:00;1.3;;
LEH;13.06.1988 00:00;0;;
LEH;14.06.1988 00:00;2.6;;
LEH;15.06.1988 00:00;0;;
LEH;16.06.1988 00:00;3.2;;
LEH;17.06.1988 00:00;0;;
LEH;18.06.1988 00:00;11.2;;
LEH;19.06.1988 00:00;2.1;;
LEH;20.06.1988 00:00;1.4;;
LEH;21.06.1988 00:00;0;;
LEH;22.06.1988 00:00;0;;
LEH;23.06.1988 00:00;0;;
LEH;24.06.1988 00:00;0;;
LEH;25.06.1988 00:00;0;;
LEH;26.06.1988 00:00;0;;
LEH;27.06.1988 00:00;0;;
LEH;28.06.1988 00:00;0;;
LEH;29.06.1988 00:00;0;;
LEH;30.06.1988 00:00;0;;
LEH;01.07.1988 00:00;10.8;;
LEH;02.07.1988 00:00;0;;
LEH;03.07.1988 00:00;29.3;;
LEH;04.07.1988 00:00;6.4;;
LEH;05.07.1988 00:00;0;;
LEH;06.07.1988 00:00;11.8;;
LEH;07.07.1988 00:00;0;;
LEH;08.07.1988 00:00;1.8;;
LEH;09.07.1988 00:00;0;;
LEH;10.07.1988 00:00;0;;
LEH;11.07.1988 00:00;18.4;;
LEH;12.07.1988 00:00;0;;
LEH;13.07.1988 00:00;12.2;;
LEH;14.07.1988 00:00;4.6;;
LEH;15.07.1988 00:00;0;;
LEH;16.07.1988 00:00;0;;
LEH;17.07.1988 00:00;1.8;;
LEH;18.07.1988 00:00;0;;
LEH;19.07.1988 00:00;0;;
LEH;20.07.1988 00:00;0;;
LEH;21.07.1988 00:00;0;;
LEH;22.07.1988 00:00;0;;
LEH;23.07.1988 00:00;0;;
LEH;24.07.1988 00:00;6.4;;
LEH;25.07.1988 00:00;0;;
LEH;26.07.1988 00:00;0;;
LEH;27.07.1988 00:00;0;;
LEH;28.07.1988 00:00;0;;
LEH;29.07.1988 00:00;3.6;;
LEH;30.07.1988 00:00;0;;
LEH;31.07.1988 00:00;0;;
LEH;01.08.1988 00:00;0;;
LEH;02.08.1988 00:00;0.4;;
LEH;03.08.1988 00:00;9.6;;
LEH;04.08.1988 00:00;4.2;;
LEH;05.08.1988 00:00;0;;
LEH;06.08.1988 00:00;0;;
LEH;07.08.1988 00:00;0;;
LEH;08.08.1988 00:00;0;;
LEH;09.08.1988 00:00;0;;
LEH;10.08.1988 00:00;0;;
LEH;11.08.1988 00:00;4.2;;
LEH;12.08.1988 00:00;6.1;;
LEH;13.08.1988 00:00;0;;
LEH;14.08.1988 00:00;0;;
LEH;15.08.1988 00:00;1.1;;
LEH;16.08.1988 00:00;0;;
LEH;17.08.1988 00:00;0;;
LEH;18.08.1988 00:00;0;;
LEH;19.08.1988 00:00;0;;
LEH;20.08.1988 00:00;57.8;;
LEH;21.08.1988 00:00;6.8;;
LEH;22.08.1988 00:00;2.8;;
LEH;23.08.1988 00:00;0;;
LEH;24.08.1988 00:00;0;;
LEH;25.08.1988 00:00;0;;
LEH;26.08.1988 00:00;1.4;;
LEH;27.08.1988 00:00;0;;
LEH;28.08.1988 00:00;0;;
LEH;29.08.1988 00:00;38.8;;
LEH;30.08.1988 00:00;0;;
LEH;31.08.1988 00:00;0;;
LEH;01.09.1988 00:00;18.1;;
LEH;02.09.1988 00:00;44.6;;
LEH;03.09.1988 00:00;0;;
LEH;04.09.1988 00:00;0;;
LEH;05.09.1988 00:00;0;;
LEH;06.09.1988 00:00;0;;
LEH;07.09.1988 00:00;0;;
LEH;08.09.1988 00:00;0;;
LEH;09.09.1988 00:00;0;;
LEH;10.09.1988 00:00;0;;
LEH;11.09.1988 00:00;0;;
LEH;12.09.1988 00:00;0;;
LEH;13.09.1988 00:00;4.8;;
LEH;14.09.1988 00:00;0;;
LEH;15.09.1988 00:00;2.8;;
LEH;16.09.1988 00:00;0;;
LEH;17.09.1988 00:00;0;;
LEH;18.09.1988 00:00;0;;
LEH;19.09.1988 00:00;0;;
LEH;20.09.1988 00:00;0;;
LEH;21.09.1988 00:00;0;;
LEH;22.09.1988 00:00;0;;
LEH;23.09.1988 00:00;7.4;;
LEH;24.09.1988 00:00;0;;
LEH;25.09.1988 00:00;0;;
LEH;26.09.1988 00:00;0;;
LEH;27.09.1988 00:00;0;;
LEH;28.09.1988 00:00;0;;
LEH;29.09.1988 00:00;1.2;;
LEH;30.09.1988 00:00;0;;
LEH;01.10.1988 00:00;0;;
LEH;02.10.1988 00:00;0;;
LEH;03.10.1988 00:00;1.2;;
LEH;04.10.1988 00:00;0.4;;
LEH;05.10.1988 00:00;1.1;;
LEH;06.10.1988 00:00;0.6;;
LEH;07.10.1988 00:00;0;;
LEH;08.10.1988 00:00;0;;
LEH;09.10.1988 00:00;3.2;;
LEH;10.10.1988 00:00;5.9;;
LEH;11.10.1988 00:00;19.2;;
LEH;12.10.1988 00:00;54.8;;
LEH;13.10.1988 00:00;0.5;;
LEH;14.10.1988 00:00;0;;
LEH;15.10.1988 00:00;0;;
LEH;16.10.1988 00:00;0;;
LEH;17.10.1988 00:00;0;;
LEH;18.10.1988 00:00;0;;
LEH;19.10.1988 00:00;0.3;;
LEH;20.10.1988 00:00;0;;
LEH;21.10.1988 00:00;0;;
LEH;22.10.1988 00:00;0;;
LEH;23.10.1988 00:00;0;;
LEH;24.10.1988 00:00;0.3;;
LEH;25.10.1988 00:00;0;;
LEH;26.10.1988 00:00;0;;
LEH;27.10.1988 00:00;0;;
LEH;28.10.1988 00:00;0;;
LEH;29.10.1988 00:00;0;;
LEH;30.10.1988 00:00;0;;
LEH;31.10.1988 00:00;0;;
LEH;01.11.1988 00:00;0;;
LEH;02.11.1988 00:00;5.2;;
LEH;03.11.1988 00:00;0;;
LEH;04.11.1988 00:00;0;;
LEH;05.11.1988 00:00;0;;
LEH;06.11.1988 00:00;0;;
LEH;07.11.1988 00:00;0;;
LEH;08.11.1988 00:00;0;;
LEH;09.11.1988 00:00;0;;
LEH;10.11.1988 00:00;0;;
LEH;11.11.1988 00:00;0;;
LEH;12.11.1988 00:00;0;;
LEH;13.11.1988 00:00;1.1;;
LEH;14.11.1988 00:00;0;;
LEH;15.11.1988 00:00;0.8;;
LEH;16.11.1988 00:00;0;;
LEH;17.11.1988 00:00;0;;
LEH;18.11.1988 00:00;1.7;;
LEH;19.11.1988 00:00;0.7;;
